a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,12:00,OFF,jump ball,,Chris Bosh,,,Theo Ratliff,,,,,,,Jose Calderon,,,,,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:45,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,jump,34,22
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:37,CHA,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:28,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,30,17
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:26,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:19,CHA,foul,,,,,,,,Chris Bosh,,Theo Ratliff,,,,,,personal,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:10,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,layup,26,9
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:06,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:04,CHA,shot,,,,,,,,,,Raymond Felton,2,,,made,,jump,25,13
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:38,TOR,shot,Jose Calderon,,,,,,,,,Chris Bosh,2,,,made,,jump,5,8
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:19,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,layup,25,6
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:17,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:10,TOR,shot,,,Theo Ratliff,,,,,,,Jose Calderon,,,,missed,,layup,25,6
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:09,CHA,rebound,,,,,,,,,,Raymond Felton,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:07,CHA,turnover,,,,,,,,,,Raymond Felton,,,bad pass,,,,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:51,TOR,shot,,,,,,,,,,Sonny Weems,,,,missed,,jump,11,20
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:50,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:28,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,jump,33,23
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:28,TOR,rebound,,,,,,,,,,,,,,,,,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:15,TOR,shot,Jose Calderon,,,,,,,,,Chris Bosh,2,,,made,,dunk,25,6
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:57,TOR,foul,,,,,,,,,,Chris Bosh,,,,,,defense 3 second,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:57,CHA,free throw,,,,,,,1,,1,Stephen Jackson,,,technical,made,,,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:45,CHA,shot,,,Chris Bosh,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:43,TOR,rebound,,,,,,,,,,Antoine Wright,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:34,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,running hook,22,11
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:32,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,off,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:32,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,jump,20,7
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:29,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,off,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:21,TOR,shot,Jose Calderon,,,,,,,,,Andrea Bargnani,3,,,made,,3pt,48,13
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,8:04,CHA,shot,Boris Diaw,,,,,,,,,Raymond Felton,3,,,made,,3pt,42,24
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:46,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,jump,26,13
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:44,CHA,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:31,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,21,23
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:30,TOR,rebound,,,,,,,,,,Sonny Weems,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:24,TOR,shot,,,,,,,,,,Antoine Wright,,,,missed,,3pt,6,22
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:22,CHA,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:14,CHA,shot,,,,,,,,,,Raymond Felton,2,,,made,,driving layup,25,6
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:03,TOR,foul,,,,,,,,Raymond Felton,,Jose Calderon,,,,,,offensive,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,7:03,TOR,turnover,,,,,,,,,,Jose Calderon,,,foul,,,,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,6:47,CHA,shot,Stephen Jackson,,,,,,,,,Gerald Wallace,2,,,made,,alley oop dunk,25,6
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,6:25,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,jump,37,15
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,6:24,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,6:14,CHA,foul,,,,,,,,Chris Bosh,,Stephen Jackson,,,,,,offensive,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,6:14,CHA,turnover,,,,,,,,,,Stephen Jackson,,,foul,,,,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,6:03,TOR,shot,,,,,,,,,,Jose Calderon,,,,missed,,jump,10,17
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,6:02,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:54,TOR,foul,,,,,,,,Boris Diaw,,Andrea Bargnani,,,,,,personal,,
Andrea Bargnani,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:54,CHA,timeout,,,,,,,,,,,,,,,,regular,,
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:54,TOR,sub,,,,Amir Johnson,,Andrea Bargnani,,,,,,,,,,,,
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:48,CHA,shot,Raymond Felton,,,,,,,,,Stephen Jackson,2,,,made,,jump,40,20
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:32,TOR,shot,,,,,,,,,,Jose Calderon,,,,missed,,3pt,42,24
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:31,CHA,rebound,,,,,,,,,,Theo Ratliff,,,,,,def,,
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:06,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,3pt,20,31
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,5:05,TOR,rebound,,,,,,,,,,Amir Johnson,,,,,,def,,
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,4:52,TOR,shot,Sonny Weems,,,,,,,,,Amir Johnson,2,,,made,,jump hook,24,13
Amir Johnson,Antoine Wright,Chris Bosh,Jose Calderon,Sonny Weems,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,4:30,TOR,foul,,,,,,,,Theo Ratliff,,Amir Johnson,,,,,,shooting,,
