a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,12:00,OFF,jump ball,,Luis Scola,,,Tim Duncan,,,,,,,Antonio McDyess,,,,,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:50,SAS,shot,,,,,,,,,,Richard Jefferson,,,,missed,,3pt,8,25
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:50,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,def,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:32,SAS,foul,,,,,,,,Trevor Ariza,,Antonio McDyess,,,,,,shooting,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:32,HOU,free throw,,,,,,,1,,2,Trevor Ariza,,,foul,missed,,,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:32,HOU,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:32,HOU,free throw,,,,,,,2,,2,Trevor Ariza,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:22,HOU,foul,,,,,,,,Manu Ginobili,,Jermaine Taylor,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:11,SAS,shot,,,,,,,,,,Manu Ginobili,2,,,made,,finger roll layup,26,8
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,11:01,SAS,foul,,,,,,,,Trevor Ariza,,Richard Jefferson,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,10:51,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,pullup jump,23,14
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,10:34,SAS,shot,Manu Ginobili,,,,,,,,,Antonio McDyess,2,,,made,,layup,25,8
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,10:26,HOU,turnover,,,,,,,,,,Aaron Brooks,,,lost ball,,Antonio McDyess,,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,10:13,SAS,shot,,,,,,,,,,Antonio McDyess,,,,missed,,jump bank,13,19
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,10:12,HOU,rebound,,,,,,,,,,Aaron Brooks,,,,,,def,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,10:03,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,jump,5,9
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,9:51,SAS,shot,Manu Ginobili,,,,,,,,,Richard Jefferson,2,,,made,,dunk,25,6
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,9:35,HOU,shot,Trevor Ariza,,,,,,,,,Luis Scola,2,,,made,,jump,40,13
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,9:16,SAS,shot,,,,,,,,,,George Hill,,,,missed,,pullup jump,12,18
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,9:14,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,9:01,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,fade away jumper,40,7
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,8:42,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,jump,15,20
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,8:41,HOU,rebound,,,,,,,,,,Jermaine Taylor,,,,,,def,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,8:34,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,7,7
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,8:33,SAS,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,8:24,SAS,shot,,,,,,,,,,Manu Ginobili,,,,missed,,jump bank,9,15
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,8:22,HOU,rebound,,,,,,,,,,Trevor Ariza,,,,,,def,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,8:12,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,fade away jumper,39,8
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,7:44,SAS,shot,,,,,,,,,,Richard Jefferson,2,,,made,,running jump,31,14
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,7:31,HOU,shot,Aaron Brooks,,,,,,,,,Trevor Ariza,3,,,made,,3pt,6,23
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,7:15,SAS,shot,George Hill,,,,,,,,,Tim Duncan,2,,,made,,jump bank,38,12
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,6:58,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,3pt,2,11
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,6:58,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,6:58,HOU,foul,,,,,,,,Tim Duncan,,Luis Scola,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,6:42,SAS,shot,Manu Ginobili,,,,,,,,,George Hill,2,,,made,,floating jump,33,12
Aaron Brooks,Chuck Hayes,Jermaine Taylor,Luis Scola,Trevor Ariza,Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,1,6:31,HOU,turnover,,,,,,,,,,Chuck Hayes,,,traveling,,,,,
