a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,12:00,OFF,jump ball,,Joel Anthony,,,Jason Maxiell,,,,,,,Michael Beasley,,,,,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,11:39,MIA,turnover,,,,,,,,,,Joel Anthony,,,3 second violation,,,,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,11:27,DET,shot,Rodney Stuckey,,,,,,,,,Jonas Jerebko,2,,,made,,layup,25,6
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,11:13,MIA,turnover,,,,,,,,,,Joel Anthony,,,lost ball,,Rodney Stuckey,,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,11:07,DET,turnover,,,,,,,,,,Tayshaun Prince,,,bad pass,,Quentin Richardson,,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,11:01,MIA,shot,,,,,,,,,,Michael Beasley,2,,,made,,pullup jump,42,8
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,10:41,DET,shot,Tayshaun Prince,,,,,,,,,Rodney Stuckey,2,,,made,,layup,25,6
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,10:12,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,jump,37,17
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,10:10,MIA,rebound,,,,,,,,,,Joel Anthony,,,,,,off,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,9:51,MIA,shot,,,,,,,,,,Quentin Richardson,2,,,made,,driving layup,25,6
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,9:29,DET,shot,Rodney Stuckey,,,,,,,,,Tayshaun Prince,2,,,made,,jump,5,9
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,9:15,MIA,shot,Carlos Arroyo,,,,,,,,,Michael Beasley,2,,,made,,jump,38,11
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,9:09,MIA,foul,,,,,,,,Rodney Stuckey,,Michael Beasley,,,,,,shooting,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,9:09,DET,free throw,,,,,,,1,,2,Rodney Stuckey,,,foul,missed,,,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,9:09,DET,rebound,,,,,,,,,,,,,,,,,,
Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,Jason Maxiell,Jonas Jerebko,Rodney Stuckey,Tayshaun Prince,Will Bynum,1,9:09,DET,free throw,,,,,,,2,,2,Rodney Stuckey,,,foul,made,,,,
