a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,12:00,OFF,jump ball,,Jason Thompson,,,Darko Milicic,,,,,,,Jonny Flynn,,,,,,
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,11:45,MIN,shot,Jonny Flynn,,,,,,,,,Al Jefferson,2,,,made,,layup,25,6
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,11:26,SAC,shot,Tyreke Evans,,,,,,,,,Andres Nocioni,3,,,made,,3pt,11,28
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,11:14,MIN,shot,,,,,,,,,,Darko Milicic,,,,missed,,jump hook,18,10
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,11:14,SAC,rebound,,,,,,,,,,Tyreke Evans,,,,,,def,,
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,11:09,SAC,shot,,,,,,,,,,Tyreke Evans,2,,,made,,driving layup,25,6
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,11:09,MIN,foul,,,,,,,,Tyreke Evans,,Corey Brewer,,,,,,shooting,,
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,11:09,SAC,free throw,,,,,,,1,,1,Tyreke Evans,,,foul,made,,,,
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,10:54,MIN,shot,Ryan Gomes,,,,,,,,,Al Jefferson,2,,,made,,jump,12,11
Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,1,10:35,SAC,shot,,,,,,,,,,Tyreke Evans,3,,,made,,3pt,43,23
