a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,12:00,OFF,jump ball,,Luis Scola,,,Kendrick Perkins,,,,,,,Chuck Hayes,,,,,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:38,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,jump,18,9
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:37,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,off,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:36,HOU,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:14,BOS,shot,Kevin Garnett,,,,,,,,,Kendrick Perkins,2,,,made,,fade away jumper,25,10
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:55,BOS,foul,,,,,,,,,,Kevin Garnett,,,,,,defense 3 second,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:55,HOU,free throw,,,,,,,1,,1,Aaron Brooks,,,technical,made,,,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:44,HOU,turnover,,,,,,,,,,Aaron Brooks,,,lost ball,,Rajon Rondo,,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:30,BOS,shot,Rajon Rondo,,,,,,,,,Paul Pierce,3,,,made,,3pt,26,31
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:10,HOU,turnover,,,,,,,,,,Luis Scola,,,bad pass,,Rajon Rondo,,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:06,BOS,shot,,,,,,,,,,Paul Pierce,2,,,made,,layup,24,6
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:53,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,step back jump,45,5
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:41,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,3pt,8,25
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:41,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,def,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:28,HOU,shot,,,,,,,,,,Chuck Hayes,,,,missed,,layup,24,7
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:27,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:22,BOS,shot,,,,,,,,,,Rajon Rondo,2,,,made,,driving layup,24,8
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:05,HOU,shot,,,,,,,,,,Jermaine Taylor,,,,missed,,jump,11,20
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:04,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:02,HOU,shot,,,,,,,,,,Chuck Hayes,,,,missed,,hook,21,7
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:01,HOU,rebound,,,,,,,,,,Jermaine Taylor,,,,,,off,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:57,HOU,shot,Jermaine Taylor,,,,,,,,,Luis Scola,2,,,made,,jump,38,14
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:45,BOS,shot,Rajon Rondo,,,,,,,,,Kevin Garnett,2,,,made,,alley oop dunk,24,6
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:31,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,fade away jumper,29,21
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:11,BOS,shot,Ray Allen,,,,,,,,,Kendrick Perkins,2,,,made,,turnaround jump,24,12
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,7:52,BOS,foul,,,,,,,,Luis Scola,,Kevin Garnett,,,,,,personal,,
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,7:42,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,turnaround hook,23,10
Aaron Brooks,Chase Budinger,Chuck Hayes,Jermaine Taylor,Luis Scola,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,7:19,BOS,shot,,,,,,,,,,Kendrick Perkins,2,,,made,,jump bank hook,25,10
