a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,12:00,OFF,jump ball,,Andray Blatche,,,Dwight Howard,,,,,,,Washington,,,,,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:54,WAS,shot,Mike Miller,,,,,,,,,Nick Young,2,,,made,,jump,11,20
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:33,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,turnaround fade away,41,9
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:32,WAS,rebound,,,,,,,,,,Andray Blatche,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:26,WAS,turnover,,,,,,,,,,Andray Blatche,,,lost ball,,Rashard Lewis,,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:03,ORL,shot,Dwight Howard,,,,,,,,,Jameer Nelson,3,,,made,,3pt,44,23
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:46,WAS,shot,,,,,,,,,,Nick Young,,,,missed,,jump,32,23
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:46,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:36,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,35,9
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:35,WAS,rebound,,,,,,,,,,Fabricio Oberto,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:25,WAS,turnover,,,,,,,,,,Andray Blatche,,,bad pass,,,,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:12,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,jump hook,22,13
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:10,WAS,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:57,WAS,shot,,,,,,,,,,Fabricio Oberto,,,,missed,,jump,25,18
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:55,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
