a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,12:00,OFF,jump ball,,Paul Millsap,,,Emeka Okafor,,,,,,,Morris Peterson,,,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:45,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,28,12
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:44,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:44,NOH,shot,,,,,,,,,,Emeka Okafor,2,,,made,,putback layup,25,6
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:34,NOH,foul,,,,,,,,Paul Millsap,,David West,,,,,,shooting,,
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:34,UTA,free throw,,,,,,,1,,2,Paul Millsap,,,foul,missed,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:34,UTA,rebound,,,,,,,,,,,,,,,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:34,UTA,free throw,,,,,,,2,,2,Paul Millsap,,,foul,made,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:17,NOH,shot,David West,,,,,,,,,Marcus Thornton,2,,,made,,running jump,23,14
C.J. Miles,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:57,UTA,shot,,,,,,,,,,Carlos Boozer,2,,,made,,turnaround fade away,37,7
