a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,12:00,OFF,jump ball,,Erick Dampier,,,Jason Thompson,,,,,,,Dirk Nowitzki,,,,,,
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:44,SAC,foul,,,,,,,,DeShawn Stevenson,,Carl Landry,,,,,,personal,,
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:37,DAL,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,40,15
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:36,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,def,,
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:25,SAC,turnover,,,,,,,,,,Jason Thompson,,,lost ball,,DeShawn Stevenson,,,
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:16,DAL,shot,,,,,,,,,,Jason Kidd,2,,,made,,jump,25,28
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:56,SAC,shot,,,,,,,,,,Andres Nocioni,,,,missed,,3pt,2,6
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:54,SAC,rebound,,,,,,,,,,Carl Landry,,,,,,off,,
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:51,SAC,shot,,,Erick Dampier,,,,,,,Tyreke Evans,,,,missed,,jump,25,14
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:49,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:45,DAL,shot,,,,,,,,,,Jason Kidd,2,,,made,,jump,28,23
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:41,SAC,timeout,,,,,,,,,,,,,,,,short,,
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:26,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,jump,20,12
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:04,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,37,18
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,9:47,SAC,shot,,,,,,,,,,Carl Landry,,,,missed,,jump,36,21
Caron Butler,DeShawn Stevenson,Dirk Nowitzki,Erick Dampier,Jason Kidd,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,9:46,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
