a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,12:00,OFF,jump ball,,Dwight Howard,,,J.J. Hickson,,,,,,,Antawn Jamison,,,,,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,11:43,CLE,shot,,,,,,,,,,Jamario Moon,,,,missed,,3pt,13,28
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,11:42,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,11:20,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,3pt,31,31
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,11:19,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,11:16,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,putback layup,26,4
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,10:59,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,jump,30,20
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,10:58,CLE,rebound,,,,,,,,,,Mo Williams,,,,,,off,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,10:57,CLE,shot,,,Matt Barnes,,,,,,,Mo Williams,,,,missed,,jump,30,9
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,10:56,ORL,rebound,,,,,,,,,,Jameer Nelson,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Antawn Jamison,J.J. Hickson,Jamario Moon,Jawad Williams,Mo Williams,1,10:38,ORL,shot,Vince Carter,,,,,,,,,Jameer Nelson,2,,,made,,jump bank,37,10
