a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,12:00,OFF,jump ball,,Luis Scola,,,Jason Thompson,,,,,,,Andres Nocioni,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:44,SAC,shot,,,,,,,,,,Tyreke Evans,,,,missed,,reverse layup,25,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:42,SAC,rebound,,,,,,,,,,Tyreke Evans,,,,,,off,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:41,SAC,shot,,,,,,,,,,Tyreke Evans,,,,missed,,layup,25,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:39,SAC,rebound,,,,,,,,,,Carl Landry,,,,,,off,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:37,SAC,shot,,,,,,,,,,Carl Landry,2,,,made,,dunk,25,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:20,HOU,shot,Aaron Brooks,,,,,,,,,Kevin Martin,2,,,made,,jump,40,11
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,11:05,SAC,shot,Jason Thompson,,,,,,,,,Tyreke Evans,2,,,made,,layup,25,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:49,HOU,shot,Luis Scola,,,,,,,,,Trevor Ariza,2,,,made,,jump,42,8
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:35,SAC,shot,,,Chuck Hayes,,,,,,,Tyreke Evans,,,,missed,,driving layup,25,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:35,SAC,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:32,SAC,shot,,,,,,,,,,Jason Thompson,,,,missed,,jump,41,11
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Andres Nocioni,Beno Udrih,Carl Landry,Jason Thompson,Tyreke Evans,1,10:32,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
