a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,12:00,OFF,jump ball,,Andray Blatche,,,David Lee,,,,,,,Mike Miller,,,,,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,11:45,WAS,shot,,,,,,,,,,Nick Young,,,,missed,,jump,17,27
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,11:42,NYK,rebound,,,,,,,,,,Earl Barron,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,11:29,NYK,shot,,,,,,,,,,David Lee,,,,missed,,layup,25,6
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,11:28,WAS,rebound,,,,,,,,,,Andray Blatche,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,11:21,WAS,shot,Nick Young,,,,,,,,,Andray Blatche,2,,,made,,running jump,33,17
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:54,NYK,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:38,WAS,shot,,,,,,,,,,Shaun Livingston,,,,missed,,jump,12,10
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:37,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:27,WAS,foul,,,,,,,,Earl Barron,,Fabricio Oberto,,,,,,shooting,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:27,NYK,free throw,,,,,,,1,,2,Earl Barron,,,foul,made,,,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:27,NYK,free throw,,,,,,,2,,2,Earl Barron,,,foul,made,,,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:04,WAS,shot,,,,,,,,,,Nick Young,,,,missed,,jump,18,14
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,10:02,NYK,rebound,,,,,,,,,,Earl Barron,,,,,,def,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,9:53,NYK,shot,,,,,,,,,,Bill Walker,,,,missed,,3pt,48,11
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,9:51,NYK,rebound,,,,,,,,,,Chris Duhon,,,,,,off,,
Andray Blatche,Fabricio Oberto,Mike Miller,Nick Young,Shaun Livingston,Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,1,9:49,NYK,shot,,,,,,,,,,Chris Duhon,2,,,made,,layup,25,6
