a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,12:00,OFF,jump ball,,Kurt Thomas,,,Rasheed Wallace,,,,,,,Brandon Jennings,,,,,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,11:35,MIL,shot,,,,,,,,,,Brandon Jennings,2,,,made,,fade away jumper,15,15
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,11:09,BOS,shot,,,,,,,,,,Glen Davis,,,,missed,,jump,31,7
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,11:08,MIL,rebound,,,,,,,,,,Carlos Delfino,,,,,,def,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,10:55,MIL,shot,Luc Richard Mbah a Moute,,,,,,,,,Carlos Delfino,2,,,made,,jump,16,23
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,10:28,BOS,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,jump,37,11
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,10:27,MIL,rebound,,,,,,,,,,Kurt Thomas,,,,,,def,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,10:15,MIL,shot,Carlos Delfino,,,,,,,,,Brandon Jennings,3,,,made,,3pt,2,6
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:57,BOS,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,3pt,29,31
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:56,MIL,rebound,,,,,,,,,,Carlos Delfino,,,,,,def,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:47,MIL,shot,,,,,,,,,,Brandon Jennings,,,,missed,,jump,25,24
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:46,BOS,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:36,BOS,shot,,,,,,,,,,Rajon Rondo,,,,missed,,jump,15,9
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:35,MIL,rebound,,,,,,,,,,Kurt Thomas,,,,,,def,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:24,MIL,shot,,,,,,,,,,Kurt Thomas,,,,missed,,jump,38,19
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:23,BOS,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:08,BOS,shot,,,Carlos Delfino,,,,,,,Michael Finley,,,,missed,,jump,24,17
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:08,BOS,rebound,,,,,,,,,,,,,,,,,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,9:00,BOS,shot,Rajon Rondo,,,,,,,,,Marquis Daniels,3,,,made,,3pt,48,7
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,8:42,BOS,foul,,,,,,,,John Salmons,,Glen Davis,,,,,,shooting,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,8:42,MIL,free throw,,,,,,,1,,2,John Salmons,,,foul,made,,,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,8:42,MIL,free throw,,,,,,,2,,2,John Salmons,,,foul,made,,,,
Brandon Jennings,Carlos Delfino,John Salmons,Kurt Thomas,Luc Richard Mbah a Moute,Glen Davis,Marquis Daniels,Michael Finley,Rajon Rondo,Rasheed Wallace,1,8:28,BOS,shot,Marquis Daniels,,,,,,,,,Glen Davis,2,,,made,,jump,12,21
