a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,12:00,OFF,jump ball,,Amare Stoudemire,,,Mehmet Okur,,,,,,,Deron Williams,,,,,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,11:46,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,3pt,2,8
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,11:44,PHX,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,11:26,PHX,foul,,,,,,,,Wesley Matthews,,Jarron Collins,,,,,,offensive,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,11:26,PHX,turnover,,,,,,,,,,Jarron Collins,,,foul,,,,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,11:08,UTA,shot,,,,,,,,,,C.J. Miles,,,,missed,,running jump,27,12
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,11:08,UTA,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:59,UTA,shot,,,,,,,,,,Paul Millsap,,,,missed,,jump,30,23
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:57,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:42,PHX,shot,Jason Richardson,,,,,,,,,Amare Stoudemire,2,,,made,,hook,25,9
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:42,UTA,foul,,,,,,,,Amare Stoudemire,,Mehmet Okur,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:42,PHX,free throw,,,,,,,1,,1,Amare Stoudemire,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:31,UTA,shot,,,,,,,,,,C.J. Miles,,,,missed,,3pt,2,8
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:30,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:16,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,fade away jumper,20,11
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:15,UTA,rebound,,,,,,,,,,Mehmet Okur,,,,,,def,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:10,UTA,turnover,,,,,,,,,,Deron Williams,,,lost ball,,Steve Nash,,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:02,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,3pt,2,9
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,10:00,UTA,rebound,,,,,,,,,,Mehmet Okur,,,,,,def,,
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,9:45,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,jump,28,23
Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,C.J. Miles,Deron Williams,Mehmet Okur,Paul Millsap,Wesley Matthews,1,9:43,PHX,rebound,,,,,,,,,,Jarron Collins,,,,,,def,,
