a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,12:00,OFF,jump ball,,Ben Wallace,,,Marc Gasol,,,,,,,Mike Conley,,,,,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:46,MEM,turnover,,,,,,,,,,Mike Conley,,,bad pass,,Richard Hamilton,,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:41,DET,shot,Richard Hamilton,,,,,,,,,Tayshaun Prince,2,,,made,,dunk,25,6
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:21,MEM,shot,,,,,,,,,,Zach Randolph,,,,missed,,jump,11,19
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:20,DET,rebound,,,,,,,,,,Charlie Villanueva,,,,,,def,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:04,DET,shot,,,Marc Gasol,,,,,,,Charlie Villanueva,,,,missed,,layup,25,6
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:02,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,def,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:55,MEM,shot,Rudy Gay,,,,,,,,,Mike Conley,3,,,made,,3pt,10,28
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:34,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,pullup jump,11,10
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:31,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,def,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:25,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,pullup jump,13,21
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:23,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,def,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:20,MEM,foul,,,,,,,,Tayshaun Prince,,Rudy Gay,,,,,,shooting,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:20,DET,free throw,,,,,,,1,,2,Tayshaun Prince,,,foul,made,,,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:20,DET,free throw,,,,,,,2,,2,Tayshaun Prince,,,foul,made,,,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:07,DET,foul,,,,,,,,Marc Gasol,,Charlie Villanueva,,,,,,personal,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:02,MEM,shot,Zach Randolph,,,,,,,,,Marc Gasol,2,,,made,,alley oop layup,25,6
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:36,DET,shot,,,Marc Gasol,,,,,,,Ben Wallace,,,,missed,,layup,25,6
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:34,DET,rebound,,,,,,,,,,Rodney Stuckey,,,,,,off,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:33,DET,shot,,,,,,,,,,Rodney Stuckey,2,,,made,,layup,25,6
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:17,DET,foul,,,,,,,,Marc Gasol,,Charlie Villanueva,,,,,,personal,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:12,MEM,shot,,,,,,,,,,O.J. Mayo,,,,missed,,jump,13,21
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:11,DET,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Ben Wallace,Charlie Villanueva,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:56,MEM,foul,,,,,,,,Richard Hamilton,,O.J. Mayo,,,,,,shooting,,
Ben Wallace,Kwame Brown,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:56,DET,sub,,,,Kwame Brown,,Charlie Villanueva,,,,,,,,,,,,
Ben Wallace,Kwame Brown,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:56,DET,free throw,,,,,,,1,,2,Richard Hamilton,,,foul,made,,,,
Ben Wallace,Kwame Brown,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:56,DET,free throw,,,,,,,2,,2,Richard Hamilton,,,foul,made,,,,
