a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,12:00,OFF,jump ball,,Nene Hilario,,,Greg Oden,,,,,,,Chauncey Billups,,,,,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:44,POR,foul,,,,,,,,Nene Hilario,,Greg Oden,,,,,,personal,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:33,DEN,shot,,,,,,,,,,Nene Hilario,,,,missed,,jump,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:33,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:08,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,13,24
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:07,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:49,DEN,shot,,,,,,,,,,Nene Hilario,,,,missed,,jump,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:49,POR,rebound,,,,,,,,,,Greg Oden,,,,,,def,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:36,DEN,foul,,,,,,,,Martell Webster,,Carmelo Anthony,,,,,,personal,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:30,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,jump,24,26
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:29,POR,rebound,,,,,,,,,,Greg Oden,,,,,,off,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:24,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,43,7
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:24,DEN,rebound,,,,,,,,,,Anthony Carter,,,,,,def,,
Anthony Carter,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:14,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,3pt,34,28
