a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,12:00,OFF,jump ball,,Marc Gasol,,,Andris Biedrins,,,,,,,O.J. Mayo,,,,,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:43,MEM,turnover,,,,,,,,,,Mike Conley,,,bad pass,,Stephen Jackson,,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:38,GSW,shot,Stephen Jackson,,,,,,,,,Kelenna Azubuike,2,,,made,,driving dunk,25,6
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:16,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,floating jump,24,13
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:15,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,off,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:10,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,jump bank,21,9
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:01,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,3pt,16,31
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:00,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:49,MEM,shot,,,Andris Biedrins,,,,,,,Mike Conley,,,,missed,,layup,23,7
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:47,MEM,rebound,,,,,,,,,,O.J. Mayo,,,,,,off,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Andris Biedrins,Kelenna Azubuike,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:44,MEM,shot,,,,,,,,,,O.J. Mayo,,,,missed,,jump,20,21
