a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,12:00,OFF,jump ball,,Marc Gasol,,,D.J. Mbenga,,,,,,,Mike Conley,,,,,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:46,LAL,foul,,,,,,,,,,D.J. Mbenga,,,,,,defense 3 second,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:46,MEM,free throw,,,,,,,1,,1,O.J. Mayo,,,technical,made,,,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:34,LAL,foul,,,,,,,,Marc Gasol,,Kobe Bryant,,,,,,shooting,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:34,MEM,free throw,,,,,,,1,,2,Marc Gasol,,,foul,made,,,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:34,MEM,free throw,,,,,,,2,,2,Marc Gasol,,,foul,missed,,,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:34,LAL,rebound,,,,,,,,,,D.J. Mbenga,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:16,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,36,14
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:15,LAL,rebound,,,,,,,,,,D.J. Mbenga,,,,,,off,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:15,LAL,shot,,,,,,,,,,D.J. Mbenga,,,,missed,,tip,25,6
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:13,LAL,rebound,,,,,,,,,,D.J. Mbenga,,,,,,off,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,D.J. Mbenga,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:06,LAL,shot,Ron Artest,,,,,,,,,Kobe Bryant,2,,,made,,slam dunk,25,6
