a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,12:00,OFF,jump ball,,Brook Lopez,,,Samuel Dalembert,,,,,,,Eduardo Najera,,,,,,
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:59,NJN,shot,,,,,,,,,,Eduardo Najera,,,,missed,,layup,23,8
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:58,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,def,,
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:52,PHI,shot,Lou Williams,,,,,,,,,Elton Brand,2,,,made,,jump,41,7
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:33,NJN,foul,,,,,,,,Thaddeus Young,,Eduardo Najera,,,,,,offensive,,
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:33,NJN,turnover,,,,,,,,,,Eduardo Najera,,,foul,,,,,
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:18,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,bad pass,,Eduardo Najera,,,
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:12,NJN,shot,,,,,,,,,,Courtney Lee,2,,,made,,driving layup,25,6
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:55,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,jump,13,5
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:54,NJN,rebound,,,,,,,,,,Rafer Alston,,,,,,def,,
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:45,NJN,shot,Eduardo Najera,,,,,,,,,Trenton Hassell,2,,,made,,jump,42,5
Brook Lopez,Courtney Lee,Eduardo Najera,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:24,NJN,foul,,,,,,,,Elton Brand,,Eduardo Najera,,,,,,personal,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:24,NJN,sub,,,,Josh Boone,,Eduardo Najera,,,,,,,,,,,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:24,PHI,shot,,,Brook Lopez,,,,,,,Thaddeus Young,,,,missed,,jump,25,12
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:22,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:12,NJN,shot,,,,,,,,,,Courtney Lee,,,,missed,,jump,39,8
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:11,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,off,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:09,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,jump,30,6
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:08,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,def,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:02,PHI,shot,,,Brook Lopez,,,,,,,Elton Brand,,,,missed,,jump,26,15
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:00,PHI,rebound,,,,,,,,,,,,,,,,,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,9:49,PHI,shot,Thaddeus Young,,,,,,,,,Andre Iguodala,2,,,made,,jump,45,6
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,9:35,NJN,shot,,,,,,,,,,Brook Lopez,,,,missed,,jump,40,17
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,9:34,PHI,rebound,,,,,,,,,,Lou Williams,,,,,,def,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,9:28,NJN,foul,,,,,,,,Lou Williams,,Rafer Alston,,,,,,shooting,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,9:28,PHI,free throw,,,,,,,1,,2,Lou Williams,,,foul,made,,,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,9:28,PHI,free throw,,,,,,,2,,2,Lou Williams,,,foul,made,,,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,9:06,NJN,shot,,,,,,,,,,Rafer Alston,2,,,made,,floating jump,26,15
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:49,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,3pt,7,24
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:47,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:23,NJN,shot,,,,,,,,,,Trenton Hassell,,,,missed,,jump,30,24
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:22,NJN,rebound,,,,,,,,,,,,,,,,,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:21,NJN,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:10,PHI,shot,Thaddeus Young,,,,,,,,,Andre Iguodala,2,,,made,,running jump,26,13
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:10,NJN,foul,,,,,,,,Andre Iguodala,,Brook Lopez,,,,,,shooting,,
Brook Lopez,Courtney Lee,Josh Boone,Rafer Alston,Trenton Hassell,Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,1,8:10,PHI,free throw,,,,,,,1,,1,Andre Iguodala,,,foul,missed,,,,
