a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,12:00,OFF,jump ball,,Greg Oden,,,Marc Gasol,,,,,,,Rudy Gay,,,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:38,MEM,shot,Rudy Gay,,,,,,,,,Mike Conley,3,,,made,,3pt,2,5
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:13,POR,shot,,,,,,,,,,Greg Oden,,,,missed,,turnaround jump,10,11
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:11,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,def,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:03,MEM,shot,,,,,,,,,,Marc Gasol,,,,missed,,jump,25,21
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:02,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,off,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:53,MEM,shot,,,,,,,,,,Marc Gasol,,,,missed,,layup,24,9
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:50,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,def,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:35,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround fade away,32,9
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:17,MEM,shot,,,,,,,,,,Rudy Gay,2,,,made,,pullup jump,41,12
