a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,12:00,OFF,jump ball,,Tyson Chandler,,,Ben Wallace,,,,,,,Jonas Jerebko,,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:39,DET,shot,,,,,,,,,,Charlie Villanueva,,,,missed,,jump,8,11
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:38,CHA,rebound,,,,,,,,,,Ronald Murray,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:23,CHA,turnover,,,,,,,,,,Ronald Murray,,,bad pass,,Ben Wallace,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:18,DET,shot,,,,,,,,,,Ben Gordon,,,,missed,,jump,9,13
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:17,CHA,rebound,,,,,,,,,,Raymond Felton,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:17,DET,foul,,,,,,,,Raymond Felton,,Ben Gordon,,,,,,loose ball,,
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:01,CHA,shot,,,Ben Wallace,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,11:00,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Ronald Murray,Tyson Chandler,Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,1,10:57,CHA,shot,,,Ben Wallace,,,,,,,Tyson Chandler,,,,missed,,dunk,25,6
