a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,12:00,OFF,jump ball,,Luis Scola,,,Spencer Hawes,,,,,,,Beno Udrih,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:47,SAC,shot,,,,,,,,,,Tyreke Evans,2,,,made,,driving layup,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:28,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,3pt,34,30
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:27,SAC,rebound,,,,,,,,,,Tyreke Evans,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:19,SAC,shot,Tyreke Evans,,,,,,,,,Andres Nocioni,3,,,made,,3pt,5,22
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:03,HOU,shot,Luis Scola,,,,,,,,,Trevor Ariza,3,,,made,,3pt,1,8
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,10:49,SAC,shot,,,,,,,,,,Tyreke Evans,3,,,made,,3pt,8,24
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,10:33,HOU,shot,Shane Battier,,,,,,,,,Trevor Ariza,3,,,made,,3pt,13,28
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,10:10,SAC,turnover,,,,,,,,,,Jason Thompson,,,poss lost ball turnover,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,1,9:51,HOU,shot,,,,,,,,,,Shane Battier,2,,,made,,driving layup,25,6
