a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,12:00,OFF,jump ball,,Ryan Hollins,,,Marc Gasol,,,,,,,O.J. Mayo,,,,,,
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:43,MEM,shot,,,,,,,,,,Zach Randolph,,,,missed,,jump,36,6
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:41,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,off,,
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:36,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,3pt,6,23
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:35,MIN,rebound,,,,,,,,,,Jonny Flynn,,,,,,def,,
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:20,MIN,turnover,,,,,,,,,,Ryan Gomes,,,bad pass,,Rudy Gay,,,
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:14,MEM,shot,,,,,,,,,,Mike Conley,2,,,made,,reverse layup,25,6
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:59,MIN,shot,Ryan Hollins,,,,,,,,,Corey Brewer,2,,,made,,pullup jump,39,18
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:40,MEM,shot,,,,,,,,,,Rudy Gay,2,,,made,,running jump,18,16
Corey Brewer,Jonny Flynn,Nathan Jawai,Ryan Gomes,Ryan Hollins,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:17,MIN,turnover,,,,,,,,,,Ryan Gomes,,,out of bounds lost ball turnover,,,,,
