a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,12:00,OFF,jump ball,,Drew Gooden,,,Andrew Bogut,,,,,,,Dirk Nowitzki,,,,,,
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:43,DAL,shot,Dirk Nowitzki,,,,,,,,,Shawn Marion,2,,,made,,hook,28,11
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:32,MIL,shot,Carlos Delfino,,,,,,,,,Charlie Bell,3,,,made,,3pt,47,19
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:11,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,11,8
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:10,MIL,rebound,,,,,,,,,,Carlos Delfino,,,,,,def,,
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:06,MIL,turnover,,,,,,,,,,Brandon Jennings,,,bad pass,,Dirk Nowitzki,,,
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:58,DAL,shot,Rodrigue Beaubois,,,,,,,,,Shawn Marion,2,,,made,,layup,25,6
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:45,DAL,foul,,,,,,,,Andrew Bogut,,Drew Gooden,,,,,,personal,,
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:34,MIL,shot,,,,,,,,,,Carlos Delfino,,,,missed,,jump,33,24
Dirk Nowitzki,Drew Gooden,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:33,DAL,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
