a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,12:00,OFF,jump ball,,Spencer Hawes,,,Drew Gooden,,,,,,,Rodrigue Beaubois,,,,,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:44,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,9,13
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:43,DAL,rebound,,,,,,,,,,Quinton Ross,,,,,,off,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:43,DAL,shot,,,,,,,,,,Quinton Ross,2,,,made,,putback layup,25,6
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:43,SAC,foul,,,,,,,,Quinton Ross,,Tyreke Evans,,,,,,shooting,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:43,DAL,free throw,,,,,,,1,,1,Quinton Ross,,,foul,missed,,,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:40,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,def,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:27,SAC,turnover,,,,,,,,,,Jason Thompson,,,out of bounds lost ball turnover,,,,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:14,DAL,turnover,,,,,,,,,,Jason Kidd,,,bad pass,,Jason Thompson,,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:09,SAC,shot,,,,,,,,,,Andres Nocioni,,,,missed,,jump,7,19
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,11:06,DAL,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,10:52,DAL,shot,,,,,,,,,,Rodrigue Beaubois,2,,,made,,driving layup,25,6
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,10:34,SAC,turnover,,,,,,,,,,Beno Udrih,,,bad pass,,Jason Kidd,,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,10:21,DAL,shot,,,,,,,,,,Drew Gooden,,,,missed,,layup,25,6
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,10:20,DAL,rebound,,,,,,,,,,Drew Gooden,,,,,,off,,
Andres Nocioni,Beno Udrih,Jason Thompson,Spencer Hawes,Tyreke Evans,Dirk Nowitzki,Drew Gooden,Jason Kidd,Quinton Ross,Rodrigue Beaubois,1,10:20,DAL,shot,,,,,,,,,,Drew Gooden,,,,missed,,tip,25,6
