a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,12:00,OFF,jump ball,,Roy Hibbert,,,Nazr Mohammed,,,,,,,Dahntay Jones,,,,,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,11:42,IND,shot,,,,,,,,,,T.J. Ford,2,,,made,,layup,25,6
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,11:24,CHA,turnover,,,,,,,,,,Gerald Wallace,,,bad pass,,Dahntay Jones,,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,11:08,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,turnaround hook,18,9
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,10:56,IND,foul,,,,,,,,Raymond Felton,,Roy Hibbert,,,,,,shooting,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,10:56,CHA,free throw,,,,,,,1,,2,Raymond Felton,,,foul,made,,,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,10:56,CHA,free throw,,,,,,,2,,2,Raymond Felton,,,foul,made,,,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,10:32,IND,shot,,,,,,,,,,Dahntay Jones,,,,missed,,jump,31,22
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,10:31,CHA,rebound,,,,,,,,,,Boris Diaw,,,,,,def,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,10:14,CHA,shot,,,,,,,,,,Stephen Jackson,2,,,made,,turnaround hook,16,10
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,10:00,IND,shot,Danny Granger,,,,,,,,,Brandon Rush,2,,,made,,jump,5,8
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,9:45,CHA,shot,,,,,,,,,,Nazr Mohammed,2,,,made,,layup,25,6
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,9:24,IND,turnover,,,,,,,,,,Roy Hibbert,,,lost ball,,Gerald Wallace,,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,9:20,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,9:19,IND,rebound,,,,,,,,,,T.J. Ford,,,,,,def,,
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,9:10,IND,shot,,,,,,,,,,Brandon Rush,2,,,made,,jump,8,19
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,8:59,CHA,shot,Boris Diaw,,,,,,,,,Nazr Mohammed,2,,,made,,jump,16,22
Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,1,8:41,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,jump,14,17
