a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,12:00,OFF,jump ball,,Wilson Chandler,,,Jason Thompson,,,,,,,Chris Duhon,,,,,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:47,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,3pt,25,31
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:45,SAC,rebound,,,,,,,,,,Donte Greene,,,,,,def,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:26,SAC,shot,Tyreke Evans,,,,,,,,,Andres Nocioni,2,,,made,,jump,4,16
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:09,NYK,shot,,,,,,,,,,David Lee,,,,missed,,jump,13,8
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,11:07,SAC,rebound,,,,,,,,,,Donte Greene,,,,,,def,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,10:57,SAC,shot,,,,,,,,,,Jason Thompson,2,,,made,,jump hook,15,7
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,10:51,SAC,foul,,,,,,,,Chris Duhon,,Tyreke Evans,,,,,,personal,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,10:51,NYK,free throw,,,,,,,1,,2,Chris Duhon,,,foul,made,,,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andres Nocioni,Donte Greene,Jason Thompson,Spencer Hawes,Tyreke Evans,1,10:51,NYK,free throw,,,,,,,2,,2,Chris Duhon,,,foul,made,,,,
