a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,12:00,OFF,jump ball,,Emeka Okafor,,,Donte Greene,,,,,,,Darren Collison,,,,,,
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,11:34,NOH,shot,,,,,,,,,,James Posey,2,,,made,,running jump,15,18
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,11:20,SAC,shot,,,,,,,,,,Donte Greene,,,,missed,,jump,14,23
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,11:19,SAC,rebound,,,,,,,,,,Tyreke Evans,,,,,,off,,
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,11:15,SAC,shot,,,Emeka Okafor,,,,,,,Tyreke Evans,,,,missed,,layup,25,6
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,11:13,NOH,rebound,,,,,,,,,,Devin Brown,,,,,,def,,
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,11:11,NOH,shot,Devin Brown,,,,,,,,,Darren Collison,2,,,made,,layup,25,6
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,10:42,SAC,shot,,,,,,,,,,Jason Thompson,2,,,made,,jump bank,24,15
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,10:24,NOH,shot,,,,,,,,,,Devin Brown,,,,missed,,jump,37,21
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,10:24,SAC,rebound,,,,,,,,,,,,,,,,,,
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,10:12,SAC,shot,,,,,,,,,,Andres Nocioni,,,,missed,,jump,5,10
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,10:11,NOH,rebound,,,,,,,,,,Devin Brown,,,,,,def,,
Darren Collison,David West,Devin Brown,Emeka Okafor,James Posey,Andres Nocioni,Donte Greene,Jason Thompson,Kenny Thomas,Tyreke Evans,1,10:01,NOH,shot,Devin Brown,,,,,,,,,Emeka Okafor,2,,,made,,layup,25,6
