a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Erick Dampier,,,,,,,Thaddeus Young,,,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,11:44,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,bad pass,,Shawn Marion,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,11:21,DAL,turnover,,,,,,,,,,Rodrigue Beaubois,,,lost ball,,Samuel Dalembert,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,11:15,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,11:14,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,11:08,DAL,shot,,,,,,,,,,Jason Kidd,2,,,made,,driving finger roll layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:51,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,3pt,23,30
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:50,DAL,rebound,,,,,,,,,,Rodrigue Beaubois,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:42,DAL,shot,Rodrigue Beaubois,,,,,,,,,Jason Kidd,3,,,made,,3pt,5,20
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:27,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,39,20
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:26,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:21,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,jump,11,22
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:03,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,27,20
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,10:03,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:58,PHI,shot,,,,,,,,,,Thaddeus Young,2,,,made,,running finger roll layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:43,DAL,shot,,,,,,,,,,Rodrigue Beaubois,,,,missed,,3pt,47,16
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:42,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:37,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,driving layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:35,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:28,PHI,foul,,,,,,,,Erick Dampier,,Andre Iguodala,,,,,,shooting,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:28,DAL,free throw,,,,,,,1,,2,Erick Dampier,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:28,DAL,free throw,,,,,,,2,,2,Erick Dampier,,,foul,missed,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:27,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:08,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,driving jump,24,10
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:07,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,off,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:02,DAL,foul,,,,,,,,Willie Green,,Erick Dampier,,,,,,shooting,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:02,PHI,free throw,,,,,,,1,,2,Willie Green,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,9:02,PHI,free throw,,,,,,,2,,2,Willie Green,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,8:47,PHI,foul,,,,,,,,Shawn Marion,,Andre Iguodala,,,,,,shooting,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,8:47,DAL,free throw,,,,,,,1,,2,Shawn Marion,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,8:47,DAL,free throw,,,,,,,2,,2,Shawn Marion,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,8:36,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,jump,21,26
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,8:35,DAL,rebound,,,,,,,,,,Rodrigue Beaubois,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,8:14,DAL,shot,Shawn Marion,,,,,,,,,Rodrigue Beaubois,2,,,made,,jump,43,12
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,8:07,PHI,turnover,,,,,,,,,,Jrue Holiday,,,traveling,,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,7:53,DAL,shot,Jason Kidd,,,,,,,,,Erick Dampier,2,,,made,,alley oop dunk,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,7:28,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,33,18
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,7:27,DAL,rebound,,,,,,,,,,Rodrigue Beaubois,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,7:21,DAL,turnover,,,,,,,,,,Jason Kidd,,,bad pass,,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:57,PHI,turnover,,,,,,,,,,Thaddeus Young,,,lost ball,,Rodrigue Beaubois,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:52,DAL,shot,,,,,,,,,,Rodrigue Beaubois,,,,missed,,driving layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:51,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:45,PHI,shot,Jrue Holiday,,,,,,,,,Andre Iguodala,2,,,made,,driving layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:25,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,turnaround fade away,8,9
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:05,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:03,PHI,rebound,,,,,,,,,,Willie Green,,,,,,off,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,6:03,PHI,shot,,,,,,,,,,Willie Green,2,,,made,,putback layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:51,DAL,turnover,,,,,,,,,,Rodrigue Beaubois,,,bad pass,,Andre Iguodala,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:47,PHI,shot,Andre Iguodala,,,,,,,,,Jrue Holiday,2,,,made,,driving dunk,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:46,DAL,timeout,,,,,,,,,,,,,,,,regular,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:46,PHI,sub,,,,Elton Brand,,Andre Iguodala,,,,,,,,,,,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:45,DAL,turnover,,,,,,,,,,Shawn Marion,,,bad pass,,Willie Green,,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:35,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,jump hook,25,10
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:34,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:21,DAL,shot,Rodrigue Beaubois,,,,,,,,,Jason Kidd,3,,,made,,3pt,40,25
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:10,PHI,turnover,,,,,,,,,,Elton Brand,,,bad pass,,Jason Kidd,,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,5:06,DAL,shot,,,,,,,,,,Jason Kidd,2,,,made,,running layup,25,6
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:41,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,jump,42,8
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:39,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,off,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:39,PHI,shot,,,,,,,,,,Elton Brand,2,,,made,,putback dunk,25,6
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:22,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,alley oop dunk,25,6
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:21,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,off,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:19,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,turnaround hook,29,10
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:18,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,4:13,PHI,shot,Jrue Holiday,,,,,,,,,Willie Green,2,,,made,,driving layup,25,6
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,3:52,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,3pt,19,29
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,3:51,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,3:41,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,jump,11,15
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,3:25,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump hook,15,8
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,3:24,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,3:16,PHI,shot,Jrue Holiday,,,,,,,,,Thaddeus Young,2,,,made,,driving jump,33,9
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,2:53,DAL,shot,Rodrigue Beaubois,,,,,,,,,Jason Kidd,3,,,made,,3pt,5,20
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,2:35,PHI,shot,Samuel Dalembert,,,,,,,,,Elton Brand,2,,,made,,turnaround fade away,34,9
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,2:35,DAL,foul,,,,,,,,Elton Brand,,Rodrigue Beaubois,,,,,,shooting,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,1,2:35,PHI,timeout,,,,,,,,,,,,,,,,regular,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Rodrigue Beaubois,1,2:35,DAL,sub,,,,Jason Terry,,Shawn Marion,,,,,,,,,,,,
Elton Brand,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Dirk Nowitzki,James Singleton,Jason Kidd,Jason Terry,Rodrigue Beaubois,1,2:35,DAL,sub,,,,James Singleton,,Erick Dampier,,,,,,,,,,,,
