a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Jeff Green,,,,,,,Kevin Garnett,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:35,BOS,shot,,,Nick Collison,,,,,,,Ray Allen,,,,missed,,running jump,35,9
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:34,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:30,OKC,turnover,,,,,,,,,,Kevin Durant,,,lost ball,,Rajon Rondo,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:21,BOS,shot,Kevin Garnett,,,,,,,,,Paul Pierce,3,,,made,,3pt,43,23
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:58,OKC,shot,,,,,,,,,,Jeff Green,2,,,made,,hook bank,20,11
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:37,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,3pt,33,29
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:36,OKC,rebound,,,,,,,,,,Thabo Sefolosha,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:24,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,26,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:10,BOS,shot,Kevin Garnett,,,,,,,,,Rajon Rondo,2,,,made,,reverse layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,9:46,OKC,shot,,,,,,,,,,Jeff Green,2,,,made,,reverse slam dunk,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,9:22,OKC,foul,,,,,,,,Kevin Garnett,,Jeff Green,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,9:18,BOS,turnover,,,,,,,,,,Kevin Garnett,,,traveling,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,9:08,OKC,shot,Thabo Sefolosha,,,,,,,,,Kevin Durant,2,,,made,,jump bank,36,12
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:52,BOS,shot,,,,,,,,,,Kevin Garnett,2,,,made,,turnaround fade away,34,8
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:39,OKC,shot,Russell Westbrook,,,,,,,,,Kevin Durant,2,,,made,,jump,10,16
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:23,OKC,foul,,,,,,,,Kevin Garnett,,Nick Collison,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:23,BOS,free throw,,,,,,,1,,2,Kevin Garnett,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:23,BOS,free throw,,,,,,,2,,2,Kevin Garnett,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:16,OKC,turnover,,,,,,,,,,Russell Westbrook,,,bad pass,,Ray Allen,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:11,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:09,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,8:09,BOS,shot,,,,,,,,,,Kevin Garnett,2,,,made,,tip,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,7:52,OKC,shot,,,,,,,,,,Russell Westbrook,,,,missed,,3pt,30,29
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,7:50,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,7:39,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,fade away jumper,36,8
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,7:38,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,7:25,BOS,shot,Kevin Garnett,,,,,,,,,Paul Pierce,3,,,made,,3pt,16,30
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,7:03,OKC,shot,,,,,,,,,,Nick Collison,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,7:01,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,6:55,BOS,shot,Ray Allen,,,,,,,,,Paul Pierce,3,,,made,,3pt,5,20
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,6:47,OKC,timeout,,,,,,,,,,,,,,,,regular,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,6:41,OKC,shot,,,,,,,,,,Russell Westbrook,,,,missed,,finger roll layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,6:40,BOS,rebound,,,,,,,,,,,,,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,6:23,BOS,shot,Paul Pierce,,,,,,,,,Kendrick Perkins,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,6:05,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,15,21
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,5:43,BOS,shot,Kendrick Perkins,,,,,,,,,Paul Pierce,2,,,made,,jump,11,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,5:21,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,3pt,3,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,5:20,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,5:16,BOS,shot,Paul Pierce,,,,,,,,,Ray Allen,2,,,made,,layup,25,6
