a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,12:00,OFF,jump ball,,Brook Lopez,,,Jared Jeffries,,,,,,,Chris Duhon,,,,,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,11:42,NYK,shot,,,,,,,,,,Chris Duhon,,,,missed,,layup,25,6
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,11:40,NYK,rebound,,,,,,,,,,David Lee,,,,,,off,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,11:40,NYK,shot,,,,,,,,,,David Lee,2,,,made,,tip,25,6
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,11:18,NJN,shot,Courtney Lee,,,,,,,,,Chris Douglas-Roberts,2,,,made,,jump,41,9
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,11:03,NYK,shot,Jared Jeffries,,,,,,,,,David Lee,2,,,made,,jump,23,24
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,10:49,NJN,shot,,,,,,,,,,Chris Douglas-Roberts,,,,missed,,jump,45,5
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,10:48,NYK,rebound,,,,,,,,,,Chris Duhon,,,,,,def,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,10:40,NYK,shot,,,,,,,,,,Al Harrington,2,,,made,,driving layup,25,6
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Wilson Chandler,1,10:40,NJN,foul,,,,,,,,Al Harrington,,Josh Boone,,,,,,shooting,,
