a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Mikki Moore,,,Jeff Green,,,,,,,C.J. Watson,,,,,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:56,OKC,foul,,,,,,,,C.J. Watson,,Russell Westbrook,,,,,,shooting,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:56,GSW,free throw,,,,,,,1,,2,C.J. Watson,,,foul,made,,,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:56,GSW,free throw,,,,,,,2,,2,C.J. Watson,,,foul,missed,,,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:55,OKC,rebound,,,,,,,,,,Thabo Sefolosha,,,,,,def,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:38,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,38,10
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:22,GSW,turnover,,,,,,,,,,C.J. Watson,,,lost ball,,Nenad Krstic,,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:18,OKC,shot,Nenad Krstic,,,,,,,,,Thabo Sefolosha,2,,,made,,layup,25,6
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:07,GSW,timeout,,,,,,,,,,,,,,,,short,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:54,GSW,shot,,,,,,,,,,C.J. Watson,,,,missed,,jump,28,23
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:53,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,def,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:37,OKC,turnover,,,,,,,,,,Kevin Durant,,,bad pass,,C.J. Watson,,,
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:33,GSW,shot,C.J. Watson,,,,,,,,,Monta Ellis,2,,,made,,layup,25,6
C.J. Watson,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:18,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,12,7
