a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Brendan Haywood,,,,,,,Kevin Garnett,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:43,BOS,shot,Paul Pierce,,,,,,,,,Kevin Garnett,2,,,made,,jump,23,25
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:25,WAS,shot,Caron Butler,,,,,,,,,Antawn Jamison,3,,,made,,3pt,3,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:08,WAS,foul,,,,,,,,Ray Allen,,Nick Young,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:08,BOS,free throw,,,,,,,1,,2,Ray Allen,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:08,BOS,free throw,,,,,,,2,,2,Ray Allen,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:56,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,bad pass,,Kevin Garnett,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:39,WAS,foul,,,,,,,,Kendrick Perkins,,Caron Butler,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:34,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,2,,,made,,jump,43,11
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:17,WAS,shot,,,,,,,,,,Brendan Haywood,2,,,made,,driving reverse layup,23,5
