a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Brendan Haywood,,,Chris Hunter,,,,,,,DeShawn Stevenson,,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:45,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,jump hook,28,11
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:44,GSW,rebound,,,,,,,,,,,,,,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:31,GSW,shot,Stephen Curry,,,,,,,,,Anthony Morrow,2,,,made,,pullup jump,38,23
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:12,WAS,turnover,,,,,,,,,,Brendan Haywood,,,lost ball,,Monta Ellis,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:07,WAS,foul,,,,,,,,Corey Maggette,,DeShawn Stevenson,,,,,,shooting,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:07,GSW,free throw,,,,,,,1,,2,Corey Maggette,,,foul,made,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:07,GSW,free throw,,,,,,,2,,2,Corey Maggette,,,foul,made,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:51,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,24,12
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:50,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:46,GSW,shot,,,,,,,,,,Anthony Morrow,,,,missed,,3pt,12,30
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:45,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:33,GSW,foul,,,,,,,,Gilbert Arenas,,Anthony Morrow,,,,,,shooting,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:33,WAS,free throw,,,,,,,1,,2,Gilbert Arenas,,,foul,missed,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:33,WAS,rebound,,,,,,,,,,,,,,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:33,WAS,free throw,,,,,,,2,,2,Gilbert Arenas,,,foul,made,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:18,GSW,shot,Chris Hunter,,,,,,,,,Stephen Curry,2,,,made,,jump,37,25
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:13,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,jump,11,20
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:09,GSW,rebound,,,,,,,,,,Chris Hunter,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:04,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,11,20
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:03,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:56,GSW,turnover,,,,,,,,,,Monta Ellis,,,bad pass,,Caron Butler,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:49,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,driving reverse layup,26,6
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:48,GSW,rebound,,,,,,,,,,Chris Hunter,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:37,GSW,shot,,,,,,,,,,Chris Hunter,,,,missed,,jump,19,24
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:35,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:27,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,3pt,8,23
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:26,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:20,GSW,shot,,,,,,,,,,Stephen Curry,2,,,made,,pullup jump,14,24
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:14,WAS,timeout,,,,,,,,,,,,,,,,short,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:04,WAS,turnover,,,,,,,,,,Antawn Jamison,,,lost ball,,Monta Ellis,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:51,GSW,shot,Corey Maggette,,,,,,,,,Stephen Curry,3,,,made,,3pt,1,6
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:34,WAS,shot,Gilbert Arenas,,,,,,,,,Caron Butler,2,,,made,,running jump,25,15
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:23,GSW,shot,,,,,,,,,,Corey Maggette,2,,,made,,pullup jump,36,21
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:13,WAS,turnover,,,,,,,,,,Caron Butler,,,traveling,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Anthony Morrow,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:03,GSW,turnover,,,,,,,,,,Monta Ellis,,,lost ball,,DeShawn Stevenson,,,
