a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,12:00,OFF,jump ball,,Roy Hibbert,,,Kendrick Perkins,,,,,,,Dahntay Jones,,,,,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:37,IND,turnover,,,,,,,,,,Roy Hibbert,,,bad pass,,Rajon Rondo,,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:30,BOS,turnover,,,,,,,,,,Rajon Rondo,,,bad pass,,Dahntay Jones,,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:27,BOS,foul,,,,,,,,Dahntay Jones,,Ray Allen,,,,,,shooting,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:27,IND,free throw,,,,,,,1,,2,Dahntay Jones,,,foul,made,,,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:27,IND,free throw,,,,,,,2,,2,Dahntay Jones,,,foul,made,,,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:16,BOS,turnover,,,,,,,,,,Ray Allen,,,bad pass,,,,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:11,IND,turnover,,,,,,,,,,Mike Dunleavy,,,lost ball,,Paul Pierce,,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:04,BOS,shot,,,Roy Hibbert,,,,,,,Rajon Rondo,,,,missed,,layup,26,8
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,11:02,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,10:54,IND,shot,Dahntay Jones,,,,,,,,,Troy Murphy,3,,,made,,3pt,34,29
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,10:34,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,3pt,39,27
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,10:33,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Kendrick Perkins,Paul Pierce,Rajon Rondo,Rasheed Wallace,Ray Allen,1,10:19,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump,21,10
