a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,Emeka Okafor,,,,,,,Peja Stojakovic,,,,,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:42,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,layup,25,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:41,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:19,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,41,12
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:18,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:04,NOH,shot,Peja Stojakovic,,,,,,,,,David West,2,,,made,,fade away jumper,41,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:40,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,jump,42,11
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:38,MIA,rebound,,,,,,,,,,Carlos Arroyo,,,,,,off,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:26,MIA,shot,,,,,,,,,,Carlos Arroyo,,,,missed,,jump,20,24
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:25,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:10,NOH,shot,Chris Paul,,,,,,,,,Devin Brown,3,,,made,,3pt,48,7
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:47,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,23,14
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:46,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:39,NOH,turnover,,,,,,,,,,Chris Paul,,,lost ball,,Carlos Arroyo,,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:34,MIA,shot,,,,,,,,,,Carlos Arroyo,2,,,made,,layup,25,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:05,NOH,shot,David West,,,,,,,,,Peja Stojakovic,3,,,made,,3pt,42,25
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,8:45,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,driving layup,25,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,8:32,MIA,foul,,,,,,,,Emeka Okafor,,Dwyane Wade,,,,,,shooting,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,8:32,NOH,free throw,,,,,,,1,,2,Emeka Okafor,,,foul,made,,,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,8:32,NOH,free throw,,,,,,,2,,2,Emeka Okafor,,,foul,made,,,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,8:19,MIA,shot,Dwyane Wade,,,,,,,,,Michael Beasley,2,,,made,,driving layup,25,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,7:59,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,jump,7,10
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,7:58,MIA,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,7:50,MIA,shot,Carlos Arroyo,,,,,,,,,Jermaine O'Neal,2,,,made,,slam dunk,25,6
