a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,12:00,OFF,jump ball,,Shaquille O'Neal,,,Nene Hilario,,,,,,,J.J. Hickson,,,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:41,CLE,shot,LeBron James,,,,,,,,,Shaquille O'Neal,2,,,made,,turnaround jump,23,11
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:18,DEN,shot,,,,,,,,,,Kenyon Martin,,,,missed,,jump,14,21
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:18,CLE,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:02,CLE,shot,,,,,,,,,,J.J. Hickson,,,,missed,,fade away jumper,35,8
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:02,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:47,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,turnaround fade away,39,11
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:46,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:38,CLE,shot,Mo Williams,,,,,,,,,Shaquille O'Neal,2,,,made,,dunk,25,6
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:21,DEN,shot,Chauncey Billups,,,,,,,,,Kenyon Martin,2,,,made,,jump,19,12
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:15,CLE,turnover,,,,,,,,,,Mo Williams,,,bad pass,,Joey Graham,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:06,CLE,foul,,,,,,,,,,Shaquille O'Neal,,,,,,defense 3 second,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:06,DEN,free throw,,,,,,,1,,1,Chauncey Billups,,,technical,made,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:00,DEN,shot,,,,,,,,,,Chauncey Billups,2,,,made,,driving finger roll layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:34,CLE,shot,,,,,,,,,,Anthony Parker,2,,,made,,fade away bank,33,13
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:19,DEN,shot,,,,,,,,,,Nene Hilario,,,,missed,,jump,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:18,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:00,CLE,shot,Anthony Parker,,,,,,,,,J.J. Hickson,2,,,made,,jump hook,25,11
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:55,CLE,foul,,,,,,,,Chauncey Billups,,Shaquille O'Neal,,,,,,personal,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:44,DEN,shot,,,,,,,,,,Kenyon Martin,,,,missed,,jump,25,28
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:43,CLE,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:27,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,jump,7,13
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:26,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:17,DEN,shot,,,,,,,,,,Joey Graham,2,,,made,,turnaround jump,19,13
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:52,CLE,shot,Anthony Parker,,,,,,,,,Mo Williams,3,,,made,,3pt,17,30
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:49,CLE,foul,,,,,,,,Chauncey Billups,,J.J. Hickson,,,,,,personal,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:35,DEN,shot,Kenyon Martin,,,,,,,,,Nene Hilario,2,,,made,,jump hook,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:25,CLE,shot,,,,,,,,,,Shaquille O'Neal,,,,missed,,layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:24,CLE,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:24,DEN,foul,,,,,,,,Shaquille O'Neal,,Chauncey Billups,,,,,,shooting,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:24,CLE,free throw,,,,,,,1,,2,Shaquille O'Neal,,,foul,missed,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:24,CLE,rebound,,,,,,,,,,,,,,,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:24,CLE,free throw,,,,,,,2,,2,Shaquille O'Neal,,,foul,made,,,,
