a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,12:00,OFF,jump ball,,Ben Wallace,,,Joakim Noah,,,,,,,Taj Gibson,,,,,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:40,CHI,shot,,,,,,,,,,Joakim Noah,,,,missed,,hook,30,12
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:39,DET,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:28,DET,shot,,,,,,,,,,Chris Wilcox,2,,,made,,turnaround fade away,14,9
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:08,CHI,shot,,,,,,,,,,Derrick Rose,2,,,made,,pullup jump,35,21
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:44,DET,shot,,,,,,,,,,Rodney Stuckey,,,,missed,,jump,32,18
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:43,DET,rebound,,,,,,,,,,Jonas Jerebko,,,,,,off,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:21,DET,shot,,,,,,,,,,Ben Wallace,2,,,made,,jump,29,11
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:10,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,3pt,10,26
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:09,DET,rebound,,,,,,,,,,Jonas Jerebko,,,,,,def,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:03,DET,shot,,,,,,,,,,Rodney Stuckey,2,,,made,,driving layup,25,6
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:03,CHI,foul,,,,,,,,Rodney Stuckey,,Joakim Noah,,,,,,shooting,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:03,DET,free throw,,,,,,,1,,1,Rodney Stuckey,,,foul,made,,,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,9:47,CHI,shot,Kirk Hinrich,,,,,,,,,Derrick Rose,2,,,made,,jump,9,14
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,9:28,DET,turnover,,,,,,,,,,Richard Hamilton,,,lost ball,,Joakim Noah,,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,9:23,CHI,shot,Derrick Rose,,,,,,,,,Luol Deng,2,,,made,,reverse layup,25,6
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:59,DET,shot,,,,,,,,,,Jonas Jerebko,,,,missed,,3pt,8,26
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:58,CHI,rebound,,,,,,,,,,Derrick Rose,,,,,,def,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:46,CHI,shot,Derrick Rose,,,,,,,,,Taj Gibson,2,,,made,,jump,16,20
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:36,DET,shot,Rodney Stuckey,,,,,,,,,Chris Wilcox,2,,,made,,layup,25,6
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:18,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,jump,20,22
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:17,CHI,rebound,,,,,,,,,,Taj Gibson,,,,,,off,,
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:15,CHI,shot,,,,,,,,,,Taj Gibson,2,,,made,,jump,20,10
Ben Wallace,Chris Wilcox,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,8:15,DET,foul,,,,,,,,Taj Gibson,,Chris Wilcox,,,,,,shooting,,
