a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,12:00,OFF,jump ball,,Andrew Bogut,,,Amare Stoudemire,,,,,,,Steve Nash,,,,,,
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:43,MIL,foul,,,,,,,,,,Luc Richard Mbah a Moute,,,,,,defense 3 second,,
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:43,PHX,free throw,,,,,,,1,,1,Steve Nash,,,technical,made,,,,
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:36,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,41,13
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:34,MIL,rebound,,,,,,,,,,,,,,,,,,
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:18,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,layup,25,6
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:17,PHX,rebound,,,,,,,,,,,,,,,,,,
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:04,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,jump,40,19
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:42,MIL,shot,,,Channing Frye,,,,,,,Andrew Bogut,,,,missed,,jump,15,12
Andrew Bogut,Brandon Jennings,Charlie Bell,Ersan Ilyasova,Luc Richard Mbah a Moute,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:39,PHX,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
