a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,12:00,OFF,jump ball,,Spencer Hawes,,,Samuel Dalembert,,,,,,,Thaddeus Young,,,,,,
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:46,PHI,shot,Allen Iverson,,,,,,,,,Samuel Dalembert,2,,,made,,alley oop layup,25,6
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:28,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,jump,35,20
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:26,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:21,PHI,shot,Allen Iverson,,,,,,,,,Lou Williams,3,,,made,,3pt,49,11
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,11:01,SAC,shot,Jason Thompson,,,,,,,,,Omri Casspi,3,,,made,,3pt,6,22
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:44,PHI,shot,,,,,,,,,,Thaddeus Young,2,,,made,,jump,20,6
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:31,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,layup,25,6
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:30,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Jason Thompson,Kevin Martin,Omri Casspi,Spencer Hawes,Tyreke Evans,Allen Iverson,Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,1,10:27,SAC,foul,,,,,,,,Allen Iverson,,Tyreke Evans,,,,,,personal,,
