a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,12:00,OFF,jump ball,,Erick Dampier,,,Samuel Dalembert,,,,,,,Philadelphia,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,12:00,DAL,violation,,,,,,,,,,Erick Dampier,,,,,,jump ball,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,11:42,PHI,shot,,,,,,,,,,Allen Iverson,,,,missed,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,11:41,DAL,rebound,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,11:30,DAL,shot,Jason Kidd,,,,,,,,,Shawn Marion,2,,,made,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,11:16,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,17,15
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,11:14,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,10:57,DAL,shot,,,,,,,,,,Jason Terry,2,,,made,,running bank,15,8
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,10:37,DAL,foul,,,,,,,,Elton Brand,,Erick Dampier,,,,,,shooting,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Allen Iverson,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,1,10:37,PHI,free throw,,,,,,,1,,2,Elton Brand,,,foul,made,,,,
