a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,12:00,OFF,jump ball,,LaMarcus Aldridge,,,Ben Wallace,,,,,,,Chris Wilcox,,,,,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:41,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,jump,44,11
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:39,POR,rebound,,,,,,,,,,Steve Blake,,,,,,def,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:20,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,36,19
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:18,DET,rebound,,,,,,,,,,Chris Wilcox,,,,,,def,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:58,DET,shot,Richard Hamilton,,,,,,,,,Tayshaun Prince,2,,,made,,jump,17,15
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:39,POR,shot,Andre Miller,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,42,16
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:18,DET,shot,,,,,,,,,,Ben Wallace,,,,missed,,layup,25,6
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:16,DET,rebound,,,,,,,,,,Chris Wilcox,,,,,,off,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:15,DET,shot,,,,,,,,,,Chris Wilcox,,,,missed,,layup,25,6
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:14,POR,rebound,,,,,,,,,,Jeff Pendergraph,,,,,,def,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:14,POR,turnover,,,,,,,,,,Jeff Pendergraph,,,poss lost ball turnover,,,,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Ben Wallace,Chris Wilcox,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:01,DET,shot,Rodney Stuckey,,,,,,,,,Richard Hamilton,3,,,made,,3pt,49,7
