a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,12:00,OFF,jump ball,,Josh Smith,,,Luis Scola,,,,,,,Aaron Brooks,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:35,HOU,shot,,,,,,,,,,Chuck Hayes,2,,,made,,driving layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:13,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,step back jump,40,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:02,HOU,shot,Aaron Brooks,,,,,,,,,Luis Scola,2,,,made,,layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:47,ATL,turnover,,,,,,,,,,Joe Johnson,,,bad pass,,Luis Scola,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:31,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,turnaround hook,15,13
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:30,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:09,ATL,shot,,,Shane Battier,,,,,,,Josh Smith,,,,missed,,jump,23,11
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:08,HOU,rebound,,,,,,,,,,Trevor Ariza,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:59,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,3pt,8,24
