a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Emeka Okafor,,,Andris Biedrins,,,,,,,Monta Ellis,,,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,11:41,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,3pt,49,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,11:40,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,11:30,NOH,foul,,,,,,,,Corey Maggette,,David West,,,,,,offensive,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,11:30,NOH,turnover,,,,,,,,,,David West,,,foul,,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,11:20,GSW,shot,,,,,,,,,,Corey Maggette,2,,,made,,step back jump,11,7
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,11:03,NOH,shot,,,,,,,,,,David West,,,,missed,,turnaround jump,32,14
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,11:02,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,10:56,GSW,shot,Monta Ellis,,,,,,,,,Corey Maggette,2,,,made,,layup,23,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,10:41,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,turnaround jump,18,12
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,10:40,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,10:25,GSW,shot,Monta Ellis,,,,,,,,,C.J. Watson,3,,,made,,3pt,41,27
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,10:09,NOH,shot,,,Andris Biedrins,,,,,,,David West,,,,missed,,jump,20,10
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andris Biedrins,C.J. Watson,Corey Maggette,Monta Ellis,Stephen Curry,1,10:08,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,def,,
