a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,12:00,OFF,jump ball,,Erick Dampier,,,Robin Lopez,,,,,,,Jason Kidd,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:43,DAL,shot,Jason Kidd,,,,,,,,,Jason Terry,2,,,made,,jump,24,13
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:23,PHX,shot,,,,,,,,,,Jason Richardson,2,,,made,,jump,18,13
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:04,DAL,shot,Jason Kidd,,,,,,,,,Jason Terry,2,,,made,,jump,8,13
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:49,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,jump,40,18
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:36,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump,22,15
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:34,PHX,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:26,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,jump,8,13
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:24,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:14,DAL,shot,,,,,,,,,,Erick Dampier,2,,,made,,hook,25,13
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:02,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,jump,31,17
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:51,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,running jump,26,15
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:47,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:40,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,25,14
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:39,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:34,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:32,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:30,PHX,turnover,,,,,,,,,,Amare Stoudemire,,,traveling,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:20,PHX,foul,,,,,,,,Shawn Marion,,Robin Lopez,,,,,,shooting,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:20,DAL,free throw,,,,,,,1,,2,Shawn Marion,,,foul,made,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:20,DAL,free throw,,,,,,,2,,2,Shawn Marion,,,foul,missed,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:19,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:04,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,jump,25,20
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:02,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:51,DAL,shot,Jason Terry,,,,,,,,,Jason Kidd,3,,,made,,3pt,48,7
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:37,PHX,shot,Jason Richardson,,,,,,,,,Amare Stoudemire,2,,,made,,jump,10,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:23,DAL,shot,Erick Dampier,,,,,,,,,Jason Terry,2,,,made,,jump,39,19
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:13,PHX,shot,Steve Nash,,,,,,,,,Jason Richardson,2,,,made,,reverse layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:59,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,14,25
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:57,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:47,PHX,turnover,,,,,,,,,,Robin Lopez,,,lost ball,,Erick Dampier,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:40,DAL,shot,,,,,,,,,,Jason Terry,,,,missed,,3pt,44,22
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:38,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:35,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Jason Kidd,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:26,DAL,shot,,,,,,,,,,Erick Dampier,2,,,made,,jump,12,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:11,PHX,turnover,,,,,,,,,,Grant Hill,,,bad pass,,Jason Terry,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:09,PHX,foul,,,,,,,,Jason Terry,,Amare Stoudemire,,,,,,shooting,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:09,DAL,free throw,,,,,,,1,,2,Jason Terry,,,foul,made,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:09,DAL,free throw,,,,,,,2,,2,Jason Terry,,,foul,made,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:54,PHX,turnover,,,,,,,,,,Amare Stoudemire,,,bad pass,,Jason Terry,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:51,DAL,shot,,,,,,,,,,Jason Terry,2,,,made,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:41,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,26,14
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:40,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,off,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:37,PHX,shot,,,,,,,,,,Robin Lopez,,,,missed,,reverse layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Shawn Marion,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:35,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
