a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,12:00,OFF,jump ball,,Nene Hilario,,,Tim Duncan,,,,,,,George Hill,,,,,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,11:39,SAS,shot,,,,,,,,,,Richard Jefferson,,,,missed,,running jump,24,10
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,11:38,SAS,rebound,,,,,,,,,,Richard Jefferson,,,,,,off,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,11:35,SAS,shot,,,,,,,,,,Richard Jefferson,2,,,made,,jump,12,7
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,11:17,DEN,shot,Nene Hilario,,,,,,,,,Kenyon Martin,2,,,made,,jump,14,23
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,10:49,SAS,shot,,,,,,,,,,Antonio McDyess,,,,missed,,fade away jumper,38,6
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,10:48,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,10:29,DEN,shot,,,,,,,,,,Joey Graham,2,,,made,,turnaround jump,14,9
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,10:14,SAS,shot,Roger Mason,,,,,,,,,George Hill,2,,,made,,layup,24,8
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:59,DEN,shot,,,,,,,,,,Kenyon Martin,,,,missed,,jump,24,10
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:58,SAS,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:45,SAS,shot,,,,,,,,,,Richard Jefferson,,,,missed,,layup,22,7
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:44,DEN,rebound,,,,,,,,,,Nene Hilario,,,,,,def,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:39,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,jump,38,24
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:37,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:20,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,jump,32,24
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:19,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:09,DEN,shot,,,,,,,,,,Nene Hilario,,,,missed,,turnaround jump,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,9:07,SAS,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,8:59,SAS,shot,,,,,,,,,,George Hill,,,,missed,,jump,38,22
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,8:57,DEN,rebound,,,,,,,,,,Joey Graham,,,,,,def,,
Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,Antonio McDyess,George Hill,Richard Jefferson,Roger Mason,Tim Duncan,1,8:43,DEN,shot,,,,,,,,,,Arron Afflalo,2,,,made,,pullup jump,19,13
