a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,12:00,OFF,jump ball,,LaMarcus Aldridge,,,Robin Lopez,,,,,,,Jason Richardson,,,,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:54,PHX,shot,,,Andre Miller,,,,,,,Jason Richardson,,,,missed,,layup,25,6
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:51,POR,rebound,,,,,,,,,,Andre Miller,,,,,,def,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:37,POR,shot,Andre Miller,,,,,,,,,Juwan Howard,2,,,made,,jump,20,11
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:24,PHX,turnover,,,,,,,,,,Grant Hill,,,bad pass,,,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:02,POR,shot,Andre Miller,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,30,17
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:54,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,LaMarcus Aldridge,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:44,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,9,16
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:22,PHX,shot,,,,,,,,,,Steve Nash,,,,missed,,fade away jumper,8,6
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:21,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,def,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:15,POR,shot,Steve Blake,,,,,,,,,Andre Miller,2,,,made,,jump,41,6
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:53,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,running jump,29,8
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:52,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,off,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:51,PHX,shot,,,,,,,,,,Robin Lopez,2,,,made,,dunk,25,6
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:30,POR,shot,Steve Blake,,,,,,,,,Martell Webster,2,,,made,,reverse layup,25,6
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:10,PHX,shot,Steve Nash,,,,,,,,,Jason Richardson,3,,,made,,3pt,48,5
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:50,POR,turnover,,,,,,,,,,Martell Webster,,,traveling,,,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:32,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,3pt,2,12
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:31,PHX,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:16,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,turnaround fade away,18,14
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:04,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround jump,16,7
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:53,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Martell Webster,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:50,POR,shot,,,,,,,,,,Martell Webster,2,,,made,,dunk,25,6
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:33,POR,foul,,,,,,,,Amare Stoudemire,,LaMarcus Aldridge,,,,,,shooting,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:33,PHX,free throw,,,,,,,1,,2,Amare Stoudemire,,,foul,made,,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:33,PHX,free throw,,,,,,,2,,2,Amare Stoudemire,,,foul,missed,,,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:32,POR,rebound,,,,,,,,,,Juwan Howard,,,,,,def,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:14,POR,shot,,,,,,,,,,Juwan Howard,,,,missed,,jump,27,24
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:13,POR,rebound,,,,,,,,,,Andre Miller,,,,,,off,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:03,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,turnaround hook,32,8
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:02,PHX,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:48,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,floating jump,13,25
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:26,POR,shot,,,,,,,,,,Steve Blake,2,,,made,,jump,13,22
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:15,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,jump,31,24
Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:14,POR,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:13,POR,sub,,,,Jeff Pendergraph,,Juwan Howard,,,,,,,,,,,,
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,5:49,POR,shot,,,,,,,,,,Steve Blake,2,,,made,,jump,6,6
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,5:33,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,layup,25,6
Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,5:32,POR,rebound,,,,,,,,,,Jeff Pendergraph,,,,,,def,,
