a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,12:00,OFF,jump ball,,Chris Kaman,,,LaMarcus Aldridge,,,,,,,Craig Smith,,,,,,
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,11:45,LAC,shot,,,,,,,,,,Craig Smith,2,,,made,,driving layup,25,6
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,11:17,POR,shot,,,,,,,,,,Andre Miller,,,,missed,,jump,45,6
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,11:17,LAC,rebound,,,,,,,,,,Craig Smith,,,,,,def,,
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,11:09,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,pullup jump,5,7
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:45,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,3pt,24,30
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:44,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:32,LAC,shot,,,LaMarcus Aldridge,,,,,,,Craig Smith,,,,missed,,layup,25,6
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:30,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,off,,
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:20,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,pullup jump,35,25
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:19,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,def,,
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:14,POR,shot,,,Baron Davis,,,,,,,Juwan Howard,,,,missed,,layup,25,6
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:11,POR,rebound,,,,,,,,,,Andre Miller,,,,,,off,,
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,10:11,POR,shot,,,,,,,,,,Andre Miller,2,,,made,,layup,25,6
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,9:59,LAC,turnover,,,,,,,,,,Baron Davis,,,lost ball,,LaMarcus Aldridge,,,
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,9:42,POR,shot,Martell Webster,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround fade away,36,10
Baron Davis,Chris Kaman,Craig Smith,Eric Gordon,Rasual Butler,Andre Miller,Brandon Roy,Juwan Howard,LaMarcus Aldridge,Martell Webster,1,9:23,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,hook bank,16,7
