a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,12:00,OFF,jump ball,,Mehmet Okur,,,Emeka Okafor,,,,,,,Darren Collison,,,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:46,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,jump,9,8
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:45,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:28,UTA,turnover,,,,,,,,,,Mehmet Okur,,,lost ball,,David West,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:07,NOH,shot,,,,,,,,,,Morris Peterson,,,,missed,,3pt,3,6
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:06,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:52,UTA,shot,Deron Williams,,,,,,,,,Andrei Kirilenko,2,,,made,,dunk,25,6
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:31,NOH,turnover,,,,,,,,,,Emeka Okafor,,,3 second violation,,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:15,UTA,shot,Deron Williams,,,,,,,,,Mehmet Okur,2,,,made,,driving layup,25,6
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:04,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,layup,25,6
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:03,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:51,UTA,shot,,,,,,,,,,Carlos Boozer,,,,missed,,jump,30,23
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:50,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:42,NOH,shot,,,,,,,,,,Darren Collison,,,,missed,,jump,32,22
