a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,12:00,OFF,jump ball,,Ben Wallace,,,Jason Thompson,,,,,,,Detroit,,,,,,
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,11:41,DET,shot,,,,,,,,,,Tayshaun Prince,2,,,made,,driving layup,25,6
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,11:23,SAC,shot,,,,,,,,,,Carl Landry,2,,,made,,driving reverse layup,25,6
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,11:06,DET,shot,,,,,,,,,,Tayshaun Prince,2,,,made,,pullup jump,27,20
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,10:48,DET,foul,,,,,,,,Carl Landry,,Ben Wallace,,,,,,personal,,
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,10:45,SAC,foul,,,,,,,,Ben Wallace,,Carl Landry,,,,,,offensive,,
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,10:45,SAC,turnover,,,,,,,,,,Carl Landry,,,foul,,,,,
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,10:23,DET,shot,,,,,,,,,,Tayshaun Prince,2,,,made,,jump,21,25
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,10:05,SAC,shot,,,,,,,,,,Jason Thompson,,,,missed,,jump,21,11
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,10:04,DET,rebound,,,,,,,,,,Jonas Jerebko,,,,,,def,,
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,9:59,DET,shot,,,,,,,,,,Rodney Stuckey,,,,missed,,pullup jump,32,21
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,9:58,SAC,rebound,,,,,,,,,,Donte Greene,,,,,,def,,
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,9:47,SAC,shot,,,,,,,,,,Donte Greene,,,,missed,,jump,31,21
Ben Wallace,Jonas Jerebko,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Carl Landry,Donte Greene,Jason Thompson,Omri Casspi,Tyreke Evans,1,9:46,DET,rebound,,,,,,,,,,Jonas Jerebko,,,,,,def,,
