a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Andrea Bargnani,,,Jeff Green,,,,,,,Russell Westbrook,,,,,,
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:37,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,hook,20,10
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:36,TOR,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:17,TOR,shot,,,,,,,,,,Rasho Nesterovic,,,,missed,,jump,42,14
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:16,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:02,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,18,9
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:01,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,off,,
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:00,OKC,shot,,,,,,,,,,Nenad Krstic,2,,,made,,putback layup,25,6
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:36,TOR,turnover,,,,,,,,,,DeMar DeRozan,,,lost ball,,Jeff Green,,,
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:30,OKC,shot,,,,,,,,,,Thabo Sefolosha,2,,,made,,jump,17,21
Andrea Bargnani,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Rasho Nesterovic,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:16,TOR,shot,,,,,,,,,,Jarrett Jack,,,,missed,,jump,16,20
