a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,12:00,OFF,jump ball,,Ronny Turiaf,,,Jermaine O'Neal,,,,,,,Rafer Alston,,,,,,
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:40,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,38,9
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:40,MIA,rebound,,,,,,,,,,Quentin Richardson,,,,,,off,,
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:39,MIA,shot,,,Ronny Turiaf,,,,,,,Quentin Richardson,,,,missed,,jump,25,11
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:38,MIA,rebound,,,,,,,,,,,,,,,,,,
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:20,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,turnaround jump,18,6
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:19,GSW,rebound,,,,,,,,,,Anthony Tolliver,,,,,,def,,
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:10,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,3pt,43,24
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:09,MIA,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:03,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump bank,39,9
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,11:02,GSW,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,10:53,GSW,shot,,,,,,,,,,Anthony Morrow,,,,missed,,3pt,7,23
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,10:52,MIA,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Anthony Morrow,Anthony Tolliver,C.J. Watson,Ronny Turiaf,Stephen Curry,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,1,10:35,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,37,10
