a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,12:00,OFF,jump ball,,Danny Granger,,,Marcus Camby,,,,,,,Nicolas Batum,,,,,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,11:37,POR,shot,Marcus Camby,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,8,11
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,11:16,IND,shot,,,,,,,,,,Brandon Rush,,,,missed,,fade away jumper,18,18
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,11:15,POR,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,10:57,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,10:56,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,10:46,IND,shot,Brandon Rush,,,,,,,,,Troy Murphy,3,,,made,,3pt,12,27
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,10:24,POR,shot,Andre Miller,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround jump,11,16
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,10:07,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,driving layup,25,6
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,10:07,POR,foul,,,,,,,,Danny Granger,,Andre Miller,,,,,,shooting,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,10:07,IND,free throw,,,,,,,1,,1,Danny Granger,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:55,IND,foul,,,,,,,,Nicolas Batum,,Earl Watson,,,,,,personal,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:47,POR,shot,,,,,,,,,,Andre Miller,,,,missed,,pullup jump,17,25
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:46,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:35,IND,turnover,,,,,,,,,,Troy Murphy,,,bad pass,,,,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:24,POR,turnover,,,,,,,,,,Marcus Camby,,,bad pass,,T.J. Ford,,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:18,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,3pt,16,29
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:17,IND,rebound,,,,,,,,,,Danny Granger,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:15,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,9:12,POR,turnover,,,,,,,,,,Marcus Camby,,,bad pass,,,,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,8:59,IND,turnover,,,,,,,,,,T.J. Ford,,,bad pass,,,,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,8:44,POR,shot,,,,,,,,,,Nicolas Batum,,,,missed,,3pt,18,30
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,8:43,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,8:36,IND,shot,,,,,,,,,,Danny Granger,3,,,made,,3pt,23,31
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,8:26,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,3pt,42,22
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,8:24,POR,rebound,,,,,,,,,,Nicolas Batum,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,8:21,POR,shot,Nicolas Batum,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,43,7
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,7:57,IND,shot,Troy Murphy,,,,,,,,,Brandon Rush,3,,,made,,3pt,6,21
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,7:32,POR,shot,Andre Miller,,,,,,,,,Brandon Roy,2,,,made,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,7:32,IND,foul,,,,,,,,Brandon Roy,,Earl Watson,,,,,,shooting,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,7:32,POR,free throw,,,,,,,1,,1,Brandon Roy,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,7:14,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,driving layup,25,6
Brandon Rush,Danny Granger,Earl Watson,T.J. Ford,Troy Murphy,Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,1,6:59,POR,shot,,,,,,,,,,Nicolas Batum,,,,missed,,jump,44,18
