a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,12:00,OFF,jump ball,,Robin Lopez,,,Drew Gooden,,,,,,,Steve Nash,,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:48,LAC,foul,,,,,,,,Robin Lopez,,Drew Gooden,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:48,PHX,free throw,,,,,,,1,,2,Robin Lopez,,,foul,missed,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:48,PHX,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:48,PHX,free throw,,,,,,,2,,2,Robin Lopez,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:31,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,jump,33,8
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:30,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:14,PHX,shot,Jason Richardson,,,,,,,,,Amare Stoudemire,2,,,made,,layup,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:58,LAC,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,31,24
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:57,PHX,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:44,PHX,shot,Steve Nash,,,,,,,,,Robin Lopez,2,,,made,,jump,18,14
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:19,LAC,shot,Eric Gordon,,,,,,,,,Chris Kaman,2,,,made,,layup,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:05,PHX,shot,,,Baron Davis,,,,,,,Grant Hill,,,,missed,,jump,24,16
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:03,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,off,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:01,PHX,shot,,,,,,,,,,Robin Lopez,,,,missed,,layup,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:00,LAC,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:00,PHX,foul,,,,,,,,Drew Gooden,,Robin Lopez,,,,,,personal,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:47,LAC,shot,Baron Davis,,,,,,,,,Eric Gordon,3,,,made,,3pt,39,27
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:37,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,jump,26,23
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:22,LAC,shot,,,,,,,,,,Eric Gordon,,,,missed,,reverse layup,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:21,LAC,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:15,PHX,foul,,,,,,,,Chris Kaman,,Grant Hill,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:15,LAC,free throw,,,,,,,1,,2,Chris Kaman,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:15,LAC,free throw,,,,,,,2,,2,Chris Kaman,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:57,PHX,shot,,,,,,,,,,Steve Nash,,,,missed,,3pt,32,30
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:55,PHX,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:50,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,jump,25,25
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:49,LAC,rebound,,,,,,,,,,Rasual Butler,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:38,LAC,shot,,,,,,,,,,Drew Gooden,,,,missed,,turnaround jump,34,8
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:37,PHX,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:29,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Chris Kaman,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:24,LAC,shot,Baron Davis,,,,,,,,,Drew Gooden,2,,,made,,layup,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:24,PHX,foul,,,,,,,,Drew Gooden,,Jason Richardson,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:24,LAC,free throw,,,,,,,1,,1,Drew Gooden,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:09,PHX,shot,,,,,,,,,,Robin Lopez,,,,missed,,hook,25,11
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:08,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:55,LAC,shot,,,,,,,,,,Rasual Butler,,,,missed,,3pt,40,27
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:53,LAC,rebound,,,,,,,,,,Drew Gooden,,,,,,off,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:47,LAC,turnover,,,,,,,,,,Drew Gooden,,,lost ball,,Amare Stoudemire,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:36,PHX,turnover,,,,,,,,,,Amare Stoudemire,,,traveling,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:24,LAC,shot,Baron Davis,,,,,,,,,Chris Kaman,2,,,made,,hook,25,9
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:12,PHX,shot,,,,,,,,,,Robin Lopez,,,,missed,,layup,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:10,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,off,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,7:10,PHX,shot,,,,,,,,,,Amare Stoudemire,2,,,made,,tip,25,6
