a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,12:00,OFF,jump ball,,Dwight Howard,,,Brook Lopez,,,,,,,Jameer Nelson,,,,,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:46,ORL,shot,Vince Carter,,,,,,,,,Dwight Howard,2,,,made,,dunk,25,6
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:31,NJN,shot,,,,,,,,,,Brook Lopez,,,,missed,,jump,15,19
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:30,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:14,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,floating jump,20,12
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:58,ORL,foul,,,,,,,,Brook Lopez,,Dwight Howard,,,,,,shooting,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:58,NJN,free throw,,,,,,,1,,2,Brook Lopez,,,foul,made,,,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:58,NJN,free throw,,,,,,,2,,2,Brook Lopez,,,foul,made,,,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:36,ORL,shot,,,,,,,,,,Jameer Nelson,,,,missed,,3pt,17,30
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:35,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:23,NJN,shot,,,,,,,,,,Devin Harris,,,,missed,,3pt,39,26
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:21,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:13,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,38,25
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:11,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Trenton Hassell,Yi Jianlian,1,9:53,NJN,turnover,,,,,,,,,,Brook Lopez,,,lost ball,,Matt Barnes,,,
