a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Marcus Camby,,,Anthony Tolliver,,,,,,,Andre Miller,,,,,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,11:48,POR,shot,,,,,,,,,,Andre Miller,,,,missed,,driving layup,24,6
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,11:47,GSW,rebound,,,,,,,,,,Anthony Morrow,,,,,,def,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,11:30,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,3pt,44,27
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,11:30,POR,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,11:11,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,34,20
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,11:10,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,def,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,11:04,GSW,shot,,,,,,,,,,Monta Ellis,3,,,made,,3pt,31,31
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,10:45,GSW,foul,,,,,,,,LaMarcus Aldridge,,Corey Maggette,,,,,,shooting,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Anthony Morrow,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,1,10:45,POR,free throw,,,,,,,1,,2,LaMarcus Aldridge,,,foul,made,,,,
