a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,12:00,OFF,jump ball,,Tim Duncan,,,Dwight Howard,,,,,,,Rashard Lewis,,,,,,
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:44,ORL,shot,Vince Carter,,,,,,,,,Rashard Lewis,2,,,made,,jump,8,9
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:27,SAS,shot,Antonio McDyess,,,,,,,,,Tim Duncan,2,,,made,,hook,15,12
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:05,ORL,shot,,,,,,,,,,Vince Carter,2,,,made,,fade away jumper,19,21
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:46,SAS,shot,,,,,,,,,,Antonio McDyess,,,,missed,,jump,9,10
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:45,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:39,SAS,foul,,,,,,,,Dwight Howard,,Tim Duncan,,,,,,personal,,
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:33,SAS,foul,,,,,,,,Dwight Howard,,Richard Jefferson,,,,,,shooting,,
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:33,ORL,free throw,,,,,,,1,,2,Dwight Howard,,,foul,missed,,,,
Antonio McDyess,George Hill,Manu Ginobili,Richard Jefferson,Tim Duncan,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:33,ORL,rebound,,,,,,,,,,,,,,,,,,
