a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Andrew Bogut,,,,,,,Jrue Holiday,,,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,11:55,PHI,turnover,,,,,,,,,,Jrue Holiday,,,step out of bounds turnover,,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,11:44,MIL,shot,Carlos Delfino,,,,,,,,,Brandon Jennings,3,,,made,,3pt,48,6
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,11:24,MIL,foul,,,,,,,,Elton Brand,,Luc Richard Mbah a Moute,,,,,,shooting,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,11:24,PHI,free throw,,,,,,,1,,2,Elton Brand,,,foul,missed,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,11:24,PHI,rebound,,,,,,,,,,,,,,,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,11:24,PHI,free throw,,,,,,,2,,2,Elton Brand,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:59,MIL,shot,,,,,,,,,,Brandon Jennings,,,,missed,,3pt,48,6
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:58,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:48,PHI,shot,Jrue Holiday,,,,,,,,,Jason Kapono,2,,,made,,jump,9,10
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:34,MIL,shot,,,,,,,,,,John Salmons,,,,missed,,jump,38,9
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:33,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:20,PHI,shot,Samuel Dalembert,,,,,,,,,Jason Kapono,2,,,made,,layup,25,6
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:20,MIL,foul,,,,,,,,Jason Kapono,,Carlos Delfino,,,,,,shooting,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:20,PHI,free throw,,,,,,,1,,1,Jason Kapono,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,10:00,MIL,shot,,,,,,,,,,Brandon Jennings,,,,missed,,jump,37,8
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,9:59,PHI,rebound,,,,,,,,,,Jason Kapono,,,,,,def,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,9:50,PHI,shot,Andre Iguodala,,,,,,,,,Samuel Dalembert,2,,,made,,alley oop dunk,25,6
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,1,9:28,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,hook,18,7
