a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Pau Gasol,,,Jeff Green,,,,,,,Nenad Krstic,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:42,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,11,5
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:40,OKC,rebound,,,,,,,,,,Thabo Sefolosha,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:39,LAL,foul,,,,,,,,Thabo Sefolosha,,Kobe Bryant,,,,,,personal,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:28,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,3pt,3,9
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:27,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:26,LAL,foul,,,,,,,,Nenad Krstic,,Lamar Odom,,,,,,shooting,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:26,OKC,free throw,,,,,,,1,,2,Nenad Krstic,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:26,OKC,free throw,,,,,,,2,,2,Nenad Krstic,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:17,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,driving layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:16,OKC,rebound,,,,,,,,,,Thabo Sefolosha,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:10,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,jump,16,20
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:54,LAL,foul,,,,,,,,Nenad Krstic,,Ron Artest,,,,,,offensive,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:54,LAL,turnover,,,,,,,,,,Ron Artest,,,foul,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:37,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,37,15
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:37,LAL,rebound,,,,,,,,,,Ron Artest,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:31,LAL,timeout,,,,,,,,,,,,,,,,regular,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:19,LAL,shot,,,,,,,,,,Derek Fisher,2,,,made,,jump,4,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:05,OKC,shot,Russell Westbrook,,,,,,,,,Kevin Durant,2,,,made,,jump,34,18
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:42,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,5,20
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:41,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:35,OKC,shot,,,,,,,,,,Russell Westbrook,,,,missed,,jump,12,20
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:34,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:20,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,36,9
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:19,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:06,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,turnaround fade away,37,10
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:06,LAL,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:06,OKC,foul,,,,,,,,Pau Gasol,,Nenad Krstic,,,,,,loose ball,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:48,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,running jump,20,11
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:47,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:37,OKC,turnover,,,,,,,,,,Kevin Durant,,,bad pass,,Kobe Bryant,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:32,LAL,shot,Kobe Bryant,,,,,,,,,Derek Fisher,2,,,made,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:21,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,running jump,29,10
