a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,12:00,OFF,jump ball,,Drew Gooden,,,Andrew Bogut,,,,,,,Brandon Jennings,,,,,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,11:49,LAC,foul,,,,,,,,Andrew Bogut,,Eric Gordon,,,,,,personal,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,11:40,LAC,foul,,,,,,,,Luc Richard Mbah a Moute,,Chris Kaman,,,,,,shooting,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,11:40,MIL,free throw,,,,,,,1,,2,Luc Richard Mbah a Moute,,,foul,made,,,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,11:40,MIL,free throw,,,,,,,2,,2,Luc Richard Mbah a Moute,,,foul,made,,,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,11:17,LAC,shot,Steve Blake,,,,,,,,,Rasual Butler,3,,,made,,3pt,49,8
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:51,MIL,shot,,,,,,,,,,John Salmons,,,,missed,,layup,25,6
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:50,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,off,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:49,MIL,shot,,,,,,,,,,Andrew Bogut,2,,,made,,layup,25,6
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:40,LAC,shot,,,,,,,,,,Rasual Butler,,,,missed,,jump,42,14
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:39,MIL,rebound,,,,,,,,,,Brandon Jennings,,,,,,def,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:21,MIL,turnover,,,,,,,,,,Charlie Bell,,,bad pass,,Chris Kaman,,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:13,LAC,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,8,6
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,10:12,MIL,rebound,,,,,,,,,,Luc Richard Mbah a Moute,,,,,,def,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,9:55,MIL,shot,,,Drew Gooden,,,,,,,Andrew Bogut,,,,missed,,layup,25,6
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,9:54,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,9:43,LAC,shot,Steve Blake,,,,,,,,,Chris Kaman,2,,,made,,jump,41,7
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,9:23,MIL,shot,,,,,,,,,,Brandon Jennings,,,,missed,,3pt,15,30
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,9:22,MIL,rebound,,,,,,,,,,Luc Richard Mbah a Moute,,,,,,off,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,9:18,MIL,shot,Luc Richard Mbah a Moute,,,,,,,,,Brandon Jennings,2,,,made,,floating jump,36,9
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,8:57,LAC,shot,,,,,,,,,,Rasual Butler,2,,,made,,jump,16,18
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,8:36,MIL,shot,John Salmons,,,,,,,,,Luc Richard Mbah a Moute,2,,,made,,a moute driving layup,25,6
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,8:21,MIL,foul,,,,,,,,Eric Gordon,,Charlie Bell,,,,,,personal,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,8:18,MIL,foul,,,,,,,,Drew Gooden,,Luc Richard Mbah a Moute,,,,,,shooting,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,8:18,LAC,free throw,,,,,,,1,,2,Drew Gooden,,,foul,made,,,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,8:18,LAC,free throw,,,,,,,2,,2,Drew Gooden,,,foul,made,,,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,8:03,MIL,shot,Andrew Bogut,,,,,,,,,Charlie Bell,3,,,made,,3pt,48,4
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,7:48,LAC,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,15,9
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,7:47,MIL,rebound,,,,,,,,,,Brandon Jennings,,,,,,def,,
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,7:39,MIL,shot,,,,,,,,,,Brandon Jennings,,,,missed,,jump,17,13
Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,Steve Blake,Andrew Bogut,Brandon Jennings,Charlie Bell,John Salmons,Luc Richard Mbah a Moute,1,7:38,MIL,rebound,,,,,,,,,,Luc Richard Mbah a Moute,,,,,,off,,
