a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,12:00,OFF,jump ball,,Josh Smith,,,J.J. Hickson,,,,,,,Mo Williams,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:45,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,jump hook,26,12
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:44,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:22,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,42,17
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:21,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:12,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:10,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:10,CLE,shot,,,,,,,,,,J.J. Hickson,2,,,made,,putback layup,26,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:51,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,42,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:50,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:46,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,3pt,11,28
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:44,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:35,CLE,shot,,,,,,,,,,Antawn Jamison,,,,missed,,3pt,49,7
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:34,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:25,ATL,shot,Josh Smith,,,,,,,,,Joe Johnson,2,,,made,,reverse layup,24,7
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:05,CLE,shot,,,,,,,,,,Anthony Parker,,,,missed,,3pt,2,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:04,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:48,ATL,shot,Joe Johnson,,,,,,,,,Marvin Williams,2,,,made,,layup,23,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:38,CLE,shot,Mo Williams,,,,,,,,,Antawn Jamison,2,,,made,,finger roll layup,25,7
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:22,ATL,shot,,,,,,,,,,Al Horford,2,,,made,,jump hook,24,11
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:05,CLE,shot,,,,,,,,,,Mo Williams,2,,,made,,jump,18,24
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:51,CLE,foul,,,,,,,,Al Horford,,LeBron James,,,,,,personal,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:46,ATL,shot,Al Horford,,,,,,,,,Josh Smith,2,,,made,,jump,16,22
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:27,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,jump,46,13
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:26,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:09,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,jump,36,12
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:08,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:02,CLE,shot,,,Al Horford,,,,,,,J.J. Hickson,,,,missed,,layup,24,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:02,CLE,jump ball,,Al Horford,,,J.J. Hickson,,,,,,,Mo Williams,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:02,CLE,rebound,,,,,,,,,,,,,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,7:54,CLE,shot,LeBron James,,,,,,,,,Mo Williams,3,,,made,,3pt,38,27
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,7:35,ATL,shot,Josh Smith,,,,,,,,,Joe Johnson,2,,,made,,jump hook,25,11
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,7:23,CLE,shot,LeBron James,,,,,,,,,J.J. Hickson,2,,,made,,driving dunk,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,7:05,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,driving layup,24,7
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,7:04,CLE,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,6:56,CLE,turnover,,,,,,,,,,J.J. Hickson,,,bad pass,,Mike Bibby,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,6:52,ATL,turnover,,,,,,,,,,Mike Bibby,,,lost ball,,Mo Williams,,,
