a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,12:00,OFF,jump ball,,Andrew Bogut,,,Theo Ratliff,,,,,,,Luc Richard Mbah a Moute,,,,,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:44,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,hook,21,11
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:42,CHA,rebound,,,,,,,,,,Raymond Felton,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:31,CHA,shot,Boris Diaw,,,,,,,,,Stephen Jackson,2,,,made,,jump,22,23
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:16,MIL,shot,,,,,,,,,,Carlos Delfino,,,,missed,,3pt,2,8
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:15,CHA,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:08,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,layup,25,6
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:07,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:50,MIL,shot,,,Theo Ratliff,,,,,,,Andrew Bogut,,,,missed,,layup,25,6
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:49,CHA,rebound,,,,,,,,,,Boris Diaw,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:40,CHA,shot,Boris Diaw,,,,,,,,,Stephen Jackson,3,,,made,,3pt,12,29
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:21,MIL,shot,,,Gerald Wallace,,,,,,,Luc Richard Mbah a Moute,,,,missed,,a moute layup,25,6
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:19,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,off,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:19,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,layup,25,6
