a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,12:00,OFF,jump ball,,Emeka Okafor,,,Hasheem Thabeet,,,,,,,Chris Paul,,,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:39,NOH,shot,,,,,,,,,,Marcus Thornton,,,,missed,,3pt,38,29
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:37,MEM,rebound,,,,,,,,,,Hasheem Thabeet,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:15,MEM,turnover,,,,,,,,,,O.J. Mayo,,,bad pass,,Emeka Okafor,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:51,NOH,shot,,,,,,,,,,Morris Peterson,,,,missed,,3pt,12,30
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:50,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:45,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,floating jump,19,12
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:42,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:32,NOH,shot,,,,,,,,,,Chris Paul,2,,,made,,jump,20,12
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:04,MEM,shot,,,,,,,,,,Rudy Gay,2,,,made,,pullup jump,11,21
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:41,NOH,shot,,,,,,,,,,Marcus Thornton,,,,missed,,3pt,31,31
