a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,12:00,OFF,jump ball,,Mehmet Okur,,,Pau Gasol,,,,,,,Carlos Boozer,,,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:52,LAL,foul,,,,,,,,Deron Williams,,Derek Fisher,,,,,,shooting,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:52,UTA,free throw,,,,,,,1,,2,Deron Williams,,,foul,made,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:52,UTA,free throw,,,,,,,2,,2,Deron Williams,,,foul,made,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:44,LAL,shot,Kobe Bryant,,,,,,,,,Lamar Odom,2,,,made,,alley oop layup,25,6
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:32,UTA,turnover,,,,,,,,,,Wesley Matthews,,,lost ball,,Kobe Bryant,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:23,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,20,15
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:21,UTA,rebound,,,,,,,,,,Wesley Matthews,,,,,,def,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,11:02,UTA,shot,Wesley Matthews,,,,,,,,,Deron Williams,2,,,made,,pullup jump,20,27
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,10:42,LAL,shot,Ron Artest,,,,,,,,,Derek Fisher,3,,,made,,3pt,42,25
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,10:23,UTA,turnover,,,,,,,,,,Deron Williams,,,step out of bounds turnover,,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,10:05,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,hook,30,12
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,10:03,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,9:54,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,finger roll layup,25,6
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,9:51,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,9:39,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,48,12
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,9:37,UTA,rebound,,,,,,,,,,Mehmet Okur,,,,,,def,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,9:29,UTA,turnover,,,,,,,,,,C.J. Miles,,,step out of bounds turnover,,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,9:17,LAL,shot,Lamar Odom,,,,,,,,,Kobe Bryant,2,,,made,,jump,11,21
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,9:01,UTA,shot,C.J. Miles,,,,,,,,,Wesley Matthews,2,,,made,,fade away jumper,27,23
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,8:44,LAL,shot,Pau Gasol,,,,,,,,,Derek Fisher,2,,,made,,jump,10,16
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,8:21,UTA,shot,Wesley Matthews,,,,,,,,,Mehmet Okur,2,,,made,,reverse layup,25,6
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Wesley Matthews,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,8:00,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,turnaround fade away,14,5
