a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,12:00,OFF,jump ball,,Theo Ratliff,,,Joakim Noah,,,,,,,Raymond Felton,,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:47,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,20,26
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:46,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:40,CHI,shot,Joakim Noah,,,,,,,,,Taj Gibson,2,,,made,,dunk,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:19,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,fade away jumper,18,25
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:18,CHI,rebound,,,,,,,,,,Derrick Rose,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:58,CHI,shot,,,,,,,,,,Derrick Rose,2,,,made,,driving reverse layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:40,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,jump,7,14
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:38,CHI,rebound,,,,,,,,,,Derrick Rose,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:34,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,3pt,38,29
